# 国家地名信息库·极地地名
# https://dmfw.mca.gov.cn/polar.html
#
# 中文名称	国际通用名	实体类型

贼鸥湾	Zei'ou Wan	Bay
昭君地	Zhaojun Di	Land
珍宝岛	Zhenbao Dao	Island
振兴码头	Zhenxing Matou	Wharf
珍珠河	Zhenzhu He	River
珍珠群岛	Zhenzhu Qundao	Islands
织女湖	Zhinü Hu	Lake
中俄车道	Zhong'e Chedao	Road
中华峰	Zhonghua Feng	Peak
中华路	Zhonghua Lu	Road
中山岛	zhongshan Dao	Island
中山锚地	Zhongshan Maodi	Anchorage
中山湾	Zhongshan Wan	Cove
中山站	Zhongshan Zhan	Station
中智公路	Zhongzhi Gonglu	Road
壮士山	Zhuangshi Shan	Hill
侏罗河	Zhuluo He	River
紫金山	Zijin Shan	Hill
紫阳湖	Ziyang Hu	Lake
紫云山	Ziyun Shan	Hill
里岛*	Li Dao	Island
企鹅连岛*	Qi’e Liandao	Attached  Island
外岛连岛*	Waidao Liandao	Attached  Island
