# 2023全国统计用区划代码和城乡划分代码（区县）
# ~~https://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2023/index.html~~
#
# 名称	级别	代码

乾安县	区级	220723000000
吉林松原经济开发区	区级	220771000000
扶余市	区级	220781000000
白城市	市级	220800000000
市辖区	区级	220801000000
洮北区	区级	220802000000
镇赉县	区级	220821000000
通榆县	区级	220822000000
吉林白城经济开发区	区级	220871000000
洮南市	区级	220881000000
大安市	区级	220882000000
延边朝鲜族自治州	市级	222400000000
延吉市	区级	222401000000
图们市	区级	222402000000
敦化市	区级	222403000000
珲春市	区级	222404000000
龙井市	区级	222405000000
和龙市	区级	222406000000
汪清县	区级	222424000000
安图县	区级	222426000000
黑龙江省	省/直辖市	230000000000
哈尔滨市	市级	230100000000
市辖区	区级	230101000000
道里区	区级	230102000000
南岗区	区级	230103000000
道外区	区级	230104000000
平房区	区级	230108000000
松北区	区级	230109000000
香坊区	区级	230110000000
呼兰区	区级	230111000000
阿城区	区级	230112000000
双城区	区级	230113000000
依兰县	区级	230123000000
方正县	区级	230124000000
宾县	区级	230125000000
巴彦县	区级	230126000000
木兰县	区级	230127000000
通河县	区级	230128000000
延寿县	区级	230129000000
尚志市	区级	230183000000
五常市	区级	230184000000
齐齐哈尔市	市级	230200000000
市辖区	区级	230201000000
龙沙区	区级	230202000000
建华区	区级	230203000000
铁锋区	区级	230204000000
昂昂溪区	区级	230205000000
富拉尔基区	区级	230206000000
碾子山区	区级	230207000000
梅里斯达斡尔族区	区级	230208000000
龙江县	区级	230221000000
依安县	区级	230223000000
泰来县	区级	230224000000
甘南县	区级	230225000000
富裕县	区级	230227000000
克山县	区级	230229000000
克东县	区级	230230000000
拜泉县	区级	230231000000
讷河市	区级	230281000000
鸡西市	市级	230300000000
市辖区	区级	230301000000
鸡冠区	区级	230302000000
恒山区	区级	230303000000
滴道区	区级	230304000000
梨树区	区级	230305000000
城子河区	区级	230306000000
麻山区	区级	230307000000
鸡东县	区级	230321000000
虎林市	区级	230381000000
密山市	区级	230382000000
鹤岗市	市级	230400000000
市辖区	区级	230401000000
向阳区	区级	230402000000
工农区	区级	230403000000
南山区	区级	230404000000
兴安区	区级	230405000000
东山区	区级	230406000000
兴山区	区级	230407000000
萝北县	区级	230421000000
绥滨县	区级	230422000000
双鸭山市	市级	230500000000
市辖区	区级	230501000000
尖山区	区级	230502000000
岭东区	区级	230503000000
四方台区	区级	230505000000
宝山区	区级	230506000000
集贤县	区级	230521000000
友谊县	区级	230522000000
宝清县	区级	230523000000
饶河县	区级	230524000000
大庆市	市级	230600000000
市辖区	区级	230601000000
萨尔图区	区级	230602000000
龙凤区	区级	230603000000
让胡路区	区级	230604000000
红岗区	区级	230605000000
大同区	区级	230606000000
肇州县	区级	230621000000
肇源县	区级	230622000000
林甸县	区级	230623000000
杜尔伯特蒙古族自治县	区级	230624000000
大庆高新技术产业开发区	区级	230671000000
伊春市	市级	230700000000
市辖区	区级	230701000000
伊美区	区级	230717000000
乌翠区	区级	230718000000
友好区	区级	230719000000
嘉荫县	区级	230722000000
汤旺县	区级	230723000000
丰林县	区级	230724000000
大箐山县	区级	230725000000
南岔县	区级	230726000000
金林区	区级	230751000000
铁力市	区级	230781000000
佳木斯市	市级	230800000000
市辖区	区级	230801000000
向阳区	区级	230803000000
前进区	区级	230804000000
东风区	区级	230805000000
郊区	区级	230811000000
桦南县	区级	230822000000
桦川县	区级	230826000000
汤原县	区级	230828000000
同江市	区级	230881000000
富锦市	区级	230882000000
抚远市	区级	230883000000
七台河市	市级	230900000000
市辖区	区级	230901000000
新兴区	区级	230902000000
桃山区	区级	230903000000
茄子河区	区级	230904000000
勃利县	区级	230921000000
牡丹江市	市级	231000000000
市辖区	区级	231001000000
东安区	区级	231002000000
阳明区	区级	231003000000
爱民区	区级	231004000000
西安区	区级	231005000000
林口县	区级	231025000000
绥芬河市	区级	231081000000
海林市	区级	231083000000
宁安市	区级	231084000000
穆棱市	区级	231085000000
东宁市	区级	231086000000
黑河市	市级	231100000000
市辖区	区级	231101000000
爱辉区	区级	231102000000
逊克县	区级	231123000000
孙吴县	区级	231124000000
北安市	区级	231181000000
五大连池市	区级	231182000000
嫩江市	区级	231183000000
绥化市	市级	231200000000
市辖区	区级	231201000000
北林区	区级	231202000000
望奎县	区级	231221000000
兰西县	区级	231222000000
青冈县	区级	231223000000
庆安县	区级	231224000000
明水县	区级	231225000000
绥棱县	区级	231226000000
安达市	区级	231281000000
肇东市	区级	231282000000
海伦市	区级	231283000000
大兴安岭地区	市级	232700000000
漠河市	区级	232701000000
呼玛县	区级	232721000000
塔河县	区级	232722000000
加格达奇区	区级	232761000000
松岭区	区级	232762000000
新林区	区级	232763000000
呼中区	区级	232764000000
上海市	省/直辖市	310000000000
市辖区	市级	310100000000
黄浦区	区级	310101000000
徐汇区	区级	310104000000
长宁区	区级	310105000000
静安区	区级	310106000000
普陀区	区级	310107000000
虹口区	区级	310109000000
杨浦区	区级	310110000000
闵行区	区级	310112000000
宝山区	区级	310113000000
嘉定区	区级	310114000000
浦东新区	区级	310115000000
金山区	区级	310116000000
松江区	区级	310117000000
青浦区	区级	310118000000
奉贤区	区级	310120000000
崇明区	区级	310151000000
江苏省	省/直辖市	320000000000
南京市	市级	320100000000
市辖区	区级	320101000000
玄武区	区级	320102000000
秦淮区	区级	320104000000
建邺区	区级	320105000000
鼓楼区	区级	320106000000
浦口区	区级	320111000000
栖霞区	区级	320113000000
雨花台区	区级	320114000000
江宁区	区级	320115000000
六合区	区级	320116000000
溧水区	区级	320117000000
高淳区	区级	320118000000
无锡市	市级	320200000000
市辖区	区级	320201000000
锡山区	区级	320205000000
惠山区	区级	320206000000
滨湖区	区级	320211000000
梁溪区	区级	320213000000
新吴区	区级	320214000000
江阴市	区级	320281000000
宜兴市	区级	320282000000
徐州市	市级	320300000000
市辖区	区级	320301000000
鼓楼区	区级	320302000000
云龙区	区级	320303000000
贾汪区	区级	320305000000
泉山区	区级	320311000000
铜山区	区级	320312000000
丰县	区级	320321000000
沛县	区级	320322000000
睢宁县	区级	320324000000
徐州经济技术开发区	区级	320371000000
新沂市	区级	320381000000
邳州市	区级	320382000000
常州市	市级	320400000000
市辖区	区级	320401000000
天宁区	区级	320402000000
钟楼区	区级	320404000000
新北区	区级	320411000000
武进区	区级	320412000000
金坛区	区级	320413000000
溧阳市	区级	320481000000
苏州市	市级	320500000000
市辖区	区级	320501000000
虎丘区	区级	320505000000
吴中区	区级	320506000000
相城区	区级	320507000000
姑苏区	区级	320508000000
吴江区	区级	320509000000
苏州工业园区	区级	320576000000
常熟市	区级	320581000000
张家港市	区级	320582000000
昆山市	区级	320583000000
太仓市	区级	320585000000
南通市	市级	320600000000
市辖区	区级	320601000000
通州区	区级	320612000000
崇川区	区级	320613000000
海门区	区级	320614000000
如东县	区级	320623000000
南通经济技术开发区	区级	320671000000
启东市	区级	320681000000
如皋市	区级	320682000000
海安市	区级	320685000000
连云港市	市级	320700000000
市辖区	区级	320701000000
连云区	区级	320703000000
海州区	区级	320706000000
赣榆区	区级	320707000000
东海县	区级	320722000000
灌云县	区级	320723000000
灌南县	区级	320724000000
连云港经济技术开发区	区级	320771000000
淮安市	市级	320800000000
市辖区	区级	320801000000
淮安区	区级	320803000000
淮阴区	区级	320804000000
清江浦区	区级	320812000000
洪泽区	区级	320813000000
涟水县	区级	320826000000
盱眙县	区级	320830000000
