# 中国历史地名大辞典
# 复旦大学历史地理研究所编《中国历史地名辞典》，江西教育出版社，1986年
# https://forum.freemdict.com/t/topic/12460
# https://forum.freemdict.com/t/topic/14497
# https://github.com/rime-aca/corpus/blob/master/中國歷史地名辭典.txt
# 地名	繁体	序号	页码

下罗计长官司	(下羅計長官司)	568	0026
下爱茶峒长官司	(下愛茶峒長官司)	569	0026
大七		570	0026
大山		571	0026
大历	(大歷)	572	0026
大龙	(大龍)	573	0026
大同		574	0026
大关	(大關)	575	0026
大羊		576	0026
大冲	(大沖)	577	0026
大江		578	0026
大员	(大員)	579	0026
大甸		580	0026
大陂		581	0026
大旺		582	0026
大金		583	0027
大河		584	0027
大城		585	0027
大峡	(大峽)	586	0027
大界		587	0027
大洞		588	0027
大原		589	0027
大厦	(大廈)	590	0027
大航		591	0027
大陵		592	0027
大{土並}		593	0027
大堨		594	0027
大棘		595	0027
大蜑		596	0027
大湖		597	0027
大渡		598	0027
大塘		599	0027
大嵩		600	0027
大鹏	(大鵬)	601	0027
大滩	(大灘)	602	0027
大溪		603	0027
大墟		604	0027
大漈		605	0027
大潭		606	0027
大澳		607	0027
大入城		608	0027
大义县	(大義縣)	609	0027
大乡县	(大鄉縣)	610	0028
大王山		611	0028
大王镇	(大王鎮)	612	0028
大历县	(大歷縣)	613	0028
大木山		614	0028
大化镇	(大化鎮)	615	0028
大斤山		616	0028
大方城		617	0028
大斗军	(大斗軍)	618	0028
大末县	(大末縣)	619	0028
大石山		620	0028
大石关	(大石關)	621	0028
大石岭	(大石嶺)	622	0028
大石站		623	0028
大石寨		624	0028
大龙站	(大龍站)	625	0028
大东沟	(大東溝)	626	0028
大业垒	(大業壘)	627	0028
大田县	(大田縣)	628	0028
大田站		629	0028
大田镇	(大田鎮)	630	0028
大由堡		631	0028
大甲溪		632	0028
大仪镇	(大儀鎮)	633	0028
大乐圩	(大樂圩)	634	0028
大乌墟	(大烏墟)	635	0028
大头山	(大頭山)	636	0028
大宁卫	(大寧衛)	637	0028
大宁州	(大寧州)	638	0029
大宁县	(大寧縣)	639	0029
大宁府	(大寧府)	640	0029
大宁郡	(大寧郡)	641	0029
大宁监	(大寧監)	642	0029
大宁路	(大寧路)	643	0029
大宁寨	(大寧寨)	644	0029
大宁镇	(大寧鎮)	645	0029
大辽水	(大遼水)	646	0029
大兰山	(大蘭山)	647	0029
大寺墟		648	0029
大寺寨		649	0029
大场镇	(大場鎮)	650	0029
大成县	(大成縣)	651	0029
大匡山		652	0029
大屿山	(大嶼山)	653	0029
大同场	(大同場)	654	0029
大同军	(大同軍)	655	0029
大同县	(大同縣)	656	0029
大同府		657	0029
大同城		658	0029
大同路		659	0030
大同镇	(大同鎮)	660	0030
大虫岭	(大虫嶺)	661	0030
大竹县	(大竹縣)	662	0030
