# 国家地名信息库·月球地名
# https://dmfw.mca.gov.cn/moon.html
#
# 标准译名	国际通用名	地形类别

亚里士多德	Aristoteles	环形山、坑
亚历山大	Alexander	环形山、坑
扬格利	Yangel'	环形山、坑
伊卡洛斯	Icarus	环形山、坑
伊萨耶夫	Isaev	环形山、坑
依巴谷	Hipparchus	环形山、坑
因吉拉米	Inghirami	环形山、坑
约·赫歇尔	J. Herschel	环形山、坑
约费	Ioffe	环形山、坑
约里奥	Joliot	环形山、坑
泽莫纳克斯	Demonax	环形山、坑
兹威基	Zwicky	环形山、坑
德森萨斯平原	Planitia Descensus	平原
阿尔泰峭壁	Rupes Altai	峭壁，崖
开尔文峭壁	Rupes Kelvin	峭壁，崖
直壁	Rupes Recta	峭壁，崖
阿尔杜伊诺山脊	Dorsum Arduino	山脊
阿尔甘山脊	Dorsa Argand	山脊
奥佩尔山脊	Dorsum Oppel	山脊
巴洛山脊	Dorsa Barlow	山脊
达纳山脊	Dorsa Dana	山脊
盖基山脊	Dorsa Geikie	山脊
葛利普山脊	Dorsum Grabau	山脊
哈克山脊	Dorsa Harker	山脊
海姆山脊	Dorsum Heim	山脊
库什曼山脊	Dorsum Cushman	山脊
齐克尔山脊	Dorsum Zirkel	山脊
施蒂勒山脊	Dorsa Stille	山脊
索比山脊	Dorsa Sorby	山脊
泰尔米埃山脊	Dorsum Termier	山脊
尤因山脊	Dorsa Ewing	山脊
安培山	Mons Ampère	山、山脉
惠更斯山	Mons Huygens	山、山脉
吕姆克山	Mons Rümker	山、山脉
皮科山	Mons Pico	山、山脉
皮通山	Mons Piton	山、山脉
勃朗峰	Mont Blanc	山、山脉
阿尔卑斯山脉	Montes Alpes	山、山脉
阿格里科拉山脉	Montes Agricola	山、山脉
比利牛斯山脉	Montes Pyrenaeus	山、山脉
高加索山脉	Montes Caucasus	山、山脉
海玛斯山脉	Montes Haemus	山、山脉
金牛山脉	Montes Taurus	山、山脉
喀尔巴阡山脉	Montes Carpatus	山、山脉
科迪勒拉山脉	Montes Cordillera	山、山脉
里菲山脉	Montes Riphaeus	山、山脉
施皮茨贝尔根山脉	Montes Spitzbergen	山、山脉
特内里费山脉	Montes Teneriffe	山、山脉
亚平宁山脉	Montes Apenninus	山、山脉
直列山脉	Montes Recti	山、山脉
侏罗山脉	Montes Jura	山、山脉
风暴洋	Oceanus Procellarum	洋
阿尔卑斯大峡谷	Vallis Alpes	月谷
布瓦尔谷	Vallis Bouvard	月谷
澄海	Mare Serenitatis	月海
岛海	Mare Insularum	月海
东海	Mare Orientale	月海
丰富海	Mare Fecunditatis	月海
洪堡海	Mare Humboldtianum	月海
界海	Mare Marginis	月海
静海	Mare Tranquillitatis	月海
酒海	Mare Nectaris	月海
浪海	Mare Undarum	月海
冷海	Mare Frigoris	月海
莫斯科海	Mare Moscoviense	月海
南海	Mare Australe	月海
泡沫海	Mare Spumans	月海
汽海	Mare Vaporum	月海
蛇海	Mare Anguis	月海
湿海	Mare Humorum	月海
史密斯海	Mare Smythii	月海
危海	Mare Crisium	月海
雨海	Mare Imbrium	月海
云海	Mare Nubium	月海
知海	Mare Cognitum	月海
智海	Mare Ingenii	月海
长存湖	Lacus Perseverantiae	月湖
春湖	Lacus Veris	月湖
孤独湖	Lacus Solitudinis	月湖
欢乐湖	Lacus Gaudii	月湖
恐怖湖	Lacus Timoris	月湖
梦湖	Lacus Somniorum	月湖
秋湖	Lacus Autumni	月湖
