# 中国·国家地名信息库 行政区划代码（数据截止日期为2025年12月31日）
# https://dmfw.mca.gov.cn/XzqhVersionPublish.html
#
# name	code	level	type	children
# -	00	0		34

西阳泽镇	130129105	4		
许亭镇	130129106	4		
南清河乡	130129202	4		
土门乡	130129204	4		
黄北坪乡	130129205	4		
张楞乡	130129208	4		
无极县	130130	3	县	0
无极县	130130000	3		
无极镇	130130100	4		
七汲镇	130130101	4		
张段固镇	130130102	4		
北苏镇	130130103	4		
郭庄镇	130130104	4		
大陈镇	130130105	4		
里城道镇	130130106	4		
东侯坊镇	130130107	4		
高头回族乡	130130200	4		
郝庄乡	130130201	4		
南流乡	130130204	4		
平山县	130131	3	县	0
平山县	130131000	3		
平山镇	130131100	4		
东回舍镇	130131101	4		
温塘镇	130131102	4		
南甸镇	130131103	4		
岗南镇	130131104	4		
古月镇	130131105	4		
下槐镇	130131106	4		
孟家庄镇	130131107	4		
小觉镇	130131108	4		
蛟潭庄镇	130131109	4		
西柏坡镇	130131110	4		
下口镇	130131111	4		
西大吾乡	130131200	4		
上三汲乡	130131201	4		
两河乡	130131202	4		
东王坡乡	130131203	4		
苏家庄乡	130131204	4		
宅北乡	130131205	4		
北冶乡	130131207	4		
上观音堂乡	130131209	4		
杨家桥乡	130131210	4		
营里乡	130131211	4		
合河口乡	130131212	4		
元氏县	130132	3	县	0
元氏县	130132000	3		
槐阳镇	130132100	4		
殷村镇	130132101	4		
南佐镇	130132102	4		
宋曹镇	130132103	4		
南因镇	130132104	4		
姬村镇	130132105	4		
北褚镇	130132106	4		
马村镇	130132107	4		
东张乡	130132201	4		
赵同乡	130132202	4		
苏村乡	130132204	4		
苏阳乡	130132205	4		
北正乡	130132206	4		
前仙乡	130132207	4		
黑水河乡	130132208	4		
赵县	130133	3	县	0
赵县	130133000	3		
赵州镇	130133100	4		
范庄镇	130133101	4		
北王里镇	130133102	4		
新寨店镇	130133103	4		
韩村镇	130133104	4		
南柏舍镇	130133105	4		
沙河店镇	130133106	4		
王西章镇	130133107	4		
谢庄镇	130133108	4		
前大章乡	130133200	4		
高村乡	130133202	4		
辛集市	130181	3	县级市	0
辛集市	130181000	3		
辛集镇	130181100	4		
旧城镇	130181101	4		
张古庄镇	130181102	4		
位伯镇	130181103	4		
新垒头镇	130181104	4		
新城镇	130181105	4		
南智丘镇	130181106	4		
王口镇	130181107	4		
天宫营乡	130181200	4		
前营乡	130181201	4		
马庄乡	130181202	4		
和睦井乡	130181203	4		
田家庄乡	130181204	4		
中里厢乡	130181205	4		
小辛庄乡	130181206	4		
晋州市	130183	3	县级市	0
晋州市	130183000	3		
晋州镇	130183100	4		
总十庄镇	130183101	4		
营里镇	130183102	4		
桃园镇	130183103	4		
东卓宿镇	130183104	4		
马于镇	130183105	4		
小樵镇	130183106	4		
槐树镇	130183107	4		
东里庄镇	130183108	4		
周家庄乡	130183201	4		
新乐市	130184	3	县级市	0
新乐市	130184000	3		
长寿街道	130184001	4		
化皮镇	130184101	4		
承安镇	130184102	4		
正莫镇	130184103	4		
南大岳镇	130184104	4		
杜固镇	130184105	4		
邯邰镇	130184106	4		
东王镇	130184107	4		
马头铺镇	130184108	4		
协神乡	130184200	4		
木村乡	130184201	4		
彭家庄回族乡	130184202	4		
唐山市	1302	2	地级市	14
唐山市	130200000	2		
路南区	130202	3	市辖区	0
路南区	130202000	3		
学院南路街道	130202001	4		
友谊街道	130202002	4		
广场街道	130202003	4		
永红桥街道	130202004	4		
小山街道	130202005	4		
文化北后街街道	130202006	4		
钱家营矿区街道	130202007	4		
惠民道街道	130202008	4		
梁家屯路街道	130202009	4		
稻地镇	130202100	4		
女织寨镇	130202101	4		
路北区	130203	3	市辖区	0
路北区	130203000	3		
乔屯街道	130203001	4		
文化路街道	130203002	4		
钓鱼台街道	130203003	4		
东新村街道	130203004	4		
缸窑街道	130203005	4		
