# 兩岸差異用詞
# https://github.com/g0v/moedict-data-csld/blob/master/兩岸差異用詞.xlsx
# https://dict.concised.moe.edu.tw/appendix.jsp?ID=54
# 差異別: 1=兩岸同實異名-753; 2=兩岸同名異實-97; 3=臺灣特有-801; 4=大陸特有-3301
# 
# 臺灣詞	大陸詞	差異別

樣品屋	樣板房	1
殘障奧林匹克運動會	殘奧會	1
殘障人士	殘疾人	1
氟氯碳化物	氯氟碳化物	1
混合式游泳	混合泳	1
滑鼠	鼠標	1
滑鼠	鼠標器	1
燒錄機	刻錄機	1
用戶親和介面	友好用戶界面	1
當機	死機	1
看護工	護工	1
矽酸鹽	硅酸鹽	1
硬碟	硬盤	1
確認鍵	回車鍵	1
磁碟	磁盤	1
空大	電視大學	1
空中大學	電視大學	1
窄頻帶	窄帶	1
組合屋	活動板房	1
纜線數據機	電纜調制解調器	1
考古題	真題	1
聖女現象	拉尼娜現象	1
航廈	航站樓	1
芮氏	里氏震級	1
螢光棒	熒光棒	1
行動電源	移動電源	1
裂解	裂化	1
調撥車道	潮汐車道	1
貧窮線	貧困線	1
資訊	信息	1
跳電	跳閘	1
身分證	身份證	1
軟式磁碟機	軟式磁盤機	1
輕型機車	輕便摩托車	1
追撞	追尾	1
部落客	博客	1
酪梨	鱷梨	1
開發中國家	發展中國家	1
雙槽洗衣機	雙缸洗衣機	1
電鍋	電飯煲	1
電傳打字機	電傳機	1
震央	震中	1
露營車	房車	1
音效卡	聲效卡	1
顏面神經	面神經	1
風向儀	向風針	1
魔術方塊	魔方	1
世大運	世界大學生運動會	1
人造皮	人造革	1
保固	保修	1
免洗杯	一次性杯子	1
入檔	掛擋	1
化學受器	化學受體	1
博愛座	老弱病殘孕專座	1
同步口譯	同傳	1
品檢	質檢	1
啟明學校	盲人學校	1
噴墨式印表機	噴墨式打印機	1
嚴重急性呼吸道症候群	非典	1
國民所得	國民收入	1
國民住宅	經適房	1
圖形化使用者介面	圖形用戶界面	1
堆高機	叉車	1
太空人	航天員	1
安公子	安非他明	1
寬頻電話	網上電話	1
布希曼人	布須曼人	1
快速道	快速路	1
快閃記憶體	閃速存儲器	1
懸浮微粒	可吸入顆粒物	1
房屋所有權狀	房產證	1
投資報酬率	投資回報率	1
折射光	折光	1
捐血	獻血	1
換腦袋	換腦瓜子	1
晶片卡	集成電路卡	1
本氏液	本立德溶液	1
槌球	門球	1
檔案傳輸協定	文件傳輸協議	1
每秒傳輸千位元數	每秒千比特	1
汽泡酒	汽酒	1
激勃酸	赤黴酸	1
無線電話	無繩電話	1
燒錄機	光盤刻錄機	1
營運長	運營官	1
環道	環路	1
社群網站	社交網站	1
細懸浮微粒	細顆粒物	1
網間網路作業系統	網間網絡操作系統	1
網際網路電話	互聯網電話	1
網路	網絡	1
網路文學	網絡文學	1
網路電腦	網絡計算機	1
聚斂性思考	輻合思維	1
聯絡簿	聯繫本	1
腦死	腦死亡	1
自動販賣機	自動售貨機	1
芮氏地震規模	里氏震級	1
花式滑水	花樣滑水	1
藍白當機畫面	藍屏	1
螢光增白劑	白色染料	1
螢幕保護程式	屏幕保護	1
螢幕保護程式	屏保	1
行動通信	移動通信	1
行動電源	隨身充	1
視訊會議	視頻會議	1
視訊電話	視頻電話	1
觀光局	旅遊局	1
觸控式螢幕	觸屏	1
貝他射線	乙種射線	1
資訊流	信息流	1
資訊技術	信息技術	1
資訊科技	信息科技	1
超級電腦	巨型計算機	1
軟體包	軟件包	1
輪式溜冰	輪滑	1
辦公大樓	寫字樓	1
農民曆	農家曆	1
迪斯可	的士高	1
迴紋針	曲別針	1
速賜康	鎮痛新	1
