# 中華語文大辭典
# https://github.com/g0v/moedict-data-csld/blob/master/中華語文大辭典全稿-20160620.csv
# 对应中華語文知識庫（台灣版）数据；
#
# 正體字形	簡化字形	字詞流水序	音序	臺／陸特有詞	臺／陸特有音	臺灣漢拼	大陸漢拼

一技之長	一技之长	1000010214				yíjìzhīchánɡ	yījìzhīchánɡ
一技在身	一技在身	1000010215				yíjìzàishēn	yījìzàishēn
一抔土		1000010216				yìpóutǔ	yīpóutǔ
一批	一批	1000010217				yìpī	yīpī
一折		1000010218				yìzhé	yīzhé
一把		1000010219				yìbǎ	yībǎ
一把手		1000010220				yìbǎshǒu	yībǎshǒu
一把抓		1000010222				yìbǎzhuā	yībǎzhuā
一把罩		1000010223		▲		yìbǎzhào	yībǎzhào
一把鑰匙開一把鎖	一把钥匙开一把锁	1000010224				yì bǎ yàoshi kāi yì bǎ suǒ	yī bǎ yàoshi kāi yī bǎ suǒ
一步一個腳印	一步一个脚印	1000010225				yí bù yí ɡe jiǎoyìn	yī bù yī ɡe jiǎoyìn
一步一個臺階	一步一个台阶	1000010226				yí bù yí ɡe táijiē	yī bù yī ɡe táijiē
一步一腳印	一步一脚印	1000010227		▲		yíbù-yìjiǎoyìn	yībù-yījiǎoyìn
一步到位		1000010228				yíbù-dàowèi	yībù-dàowèi
一步登天		1000010229				yíbù-dēnɡtiān	yībù-dēnɡtiān
一步裙		1000010230		★		yíbùqún	yībùqún
一見如故	一见如故	1000010231				yíjiàn-rúɡù	yījiàn-rúɡù
一見傾心	一见倾心	1000010232				yíjiàn-qīnɡxīn	yījiàn-qīnɡxīn
一見鍾情	一见钟情	1000010233				yíjiàn-zhōnɡqínɡ	yījiàn-zhōnɡqínɡ
一男半女	一男半女	1000010235				yìnán-bànnǚ	yīnán-bànnǚ
一別苗頭	一别苗头	1000010237				yìbiémiáotóu	yībiémiáotóu
一吹一唱		1000010238				yìchuī-yíchànɡ	yīchuī-yīchànɡ
一似	一似	1000010239				yísì	yīsì
一身	一身	1000010240				yìshēn	yīshēn
一身是膽	一身是胆	1000010241				yìshēn-shìdǎn	yīshēn-shìdǎn
一佛出世，二佛升天		1000010242				yìfóchūshì,èrfóshēnɡtiān	yīfóchūshì,èrfóshēnɡtiān
