# 臺灣華語文能力基準（TBCL）詞語表 （202504版）
# https://coct.naer.edu.tw/page.jsp?ID=41
# 三等七級14,425個詞的詞語表
#
# word	id	bopomofo	pinyin	deng	ji	situation	wfreq	sfreq

不錯	198	ㄅㄨˊ ㄘㄨㄛˋ	búcuò	基礎	第1*級	核心詞	97	204
菜	199	ㄘㄞˋ	cài	基礎	第1*級	餐飲、烹飪	79	350
餐廳	200	ㄘㄢ ㄊㄧㄥ	cāntīng	基礎	第1*級	餐飲、烹飪	54	79
長1	201	ㄔㄤˊ	cháng	基礎	第1*級	核心詞	434	469
唱	202	ㄔㄤˋ	chàng	基礎	第1*級	核心詞	89	78
唱歌	203	ㄔㄤˋ ㄍㄜ	chàng gē	基礎	第1*級	休閒、娛樂	29	35
常常/常	204	ㄔㄤˊ ㄔㄤˊ / ㄔㄤˊ	chángcháng / cháng	基礎	第1*級	核心詞	507	691
出	205	ㄔㄨ	chū	基礎	第1*級	核心詞	350	216
穿	206	ㄔㄨㄢ	chuān	基礎	第1*級	日常起居	189	193
床	207	ㄔㄨㄤˊ	chuáng	基礎	第1*級	核心詞	122	53
從	208	ㄘㄨㄥˊ	cóng	基礎	第1*級	核心詞	1948	1910
錯	209	ㄘㄨㄛˋ	cuò	基礎	第1*級	核心詞	195	341
蛋	210	ㄉㄢˋ	dàn	基礎	第1*級	餐飲、烹飪	41	51
得2	211	˙ㄉㄜ	de	基礎	第1*級	核心詞	2471	1542
得1	212	ㄉㄟˇ	děi	基礎	第1*級	核心詞	2471	1542
等	213	ㄉㄥˇ	děng	基礎	第1*級	核心詞	1163	650
低	214	ㄉㄧ	dī	基礎	第1*級	核心詞	122	169
店	215	ㄉㄧㄢˋ	diàn	基礎	第1*級	核心詞	73	56
電腦	216	ㄉㄧㄢˋ ㄋㄠˇ	diànnǎo	基礎	第1*級	核心詞	226	117
電視	217	ㄉㄧㄢˋ ㄕˋ	diànshì	基礎	第1*級	日常起居	125	126
電影	218	ㄉㄧㄢˋ ㄧㄥˇ	diànyǐng	基礎	第1*級	休閒、娛樂	282	70
地方	219	ㄉㄧˋ ㄈㄤ	dìfāng	基礎	第1*級	核心詞	563	1183
懂	220	ㄉㄨㄥˇ	dǒng	基礎	第1*級	核心詞	133	179
讀	221	ㄉㄨˊ	dú	基礎	第1*級	核心詞	204	133
短	222	ㄉㄨㄢˇ	duǎn	基礎	第1*級	核心詞	82	75
多久	223	ㄉㄨㄛ ㄐㄧㄡˇ	duōjiǔ	基礎	第1*級	核心詞	19	30
餓	224	ㄜˋ	è	基礎	第1*級	核心詞	41	46
耳朵	225	ㄦˇ ˙ㄉㄨㄛ	ěrduo	基礎	第1*級	身體、醫療	57	28
飯	226	ㄈㄢˋ	fàn	基礎	第1*級	核心詞	79	113
方便	227	ㄈㄤ ㄅㄧㄢˋ	fāngbiàn	基礎	第1*級	核心詞	54	124
房間	228	ㄈㄤˊ ㄐㄧㄢ	fángjiān	基礎	第1*級	核心詞	172	48
房子	229	ㄈㄤˊ ˙ㄗ	fángzi	基礎	第1*級	核心詞	148	184
非常	230	ㄈㄟ ㄔㄤˊ	fēicháng	基礎	第1*級	核心詞	663	1544
