# 第一批异形词整理表
# 20011219-GF 1001-2001《第一批异形词整理表》
# http://xh.5156edu.com/page/z2137m9645j19351.html
# https://jwc.ytvc.edu.cn/info/1050/1214.htm
# 共338组异形词以及【附录】含有非规范字的异形词（共44组，序号A1-A44）
#
# 推荐词形	异形词	序号	拼音

按捺	按纳	1	ànnà
账本	帐本	323	zhàngběn
折中	折衷	324	zhézhōng
这么	这末	325	zhème
正经八百	正经八摆	326	zhèngjīng-bābǎi
芝麻	脂麻	327	zhīma
肢解	支解、枝解	328	zhījiě
直截了当	直捷了当、直接了当	329	zhíjié-liǎodàng
指手画脚	指手划脚	330	zhǐshǒu-huàjiǎo
周济	赒济	331	zhōujì
转悠	转游	332	zhuànyou
装潢	装璜	333	zhuānghuáng
孜孜	孳孳	334	zīzī
姿势	姿式	335	zīshì
仔细	子细	336	zǐxì
自个儿	自各儿	337	zìgěr
佐证	左证	338	zuǒzhèng
抵触	牴触	A1	dǐchù
抵牾	牴牾	A2	dǐwǔ
喋血	啑血	A3	diéxuè
仿佛	彷彿、髣髴	A4	fǎngfú
飞扬	飞飏	A5	fēiyáng
氛围	雰围	A6	fēnwéi
构陷	搆陷	A7	gòuxiàn
浩渺	浩淼	A8	hàomiǎo
红果儿	红菓儿	A9	hóngguǒr
胡同	衚衕	A10	hútòng
糊口	𫗫口	A11	húkǒu
蒺藜	蒺蔾	A12	jílí
家伙	傢伙	A13	jiāhuo
家具	傢具	A14	jiājù
家什	傢什	A15	jiāshi
侥幸	儌倖、徼倖	A16	jiǎoxìng
局促	侷促、跼促	A17	júcù
撅嘴	噘嘴	A18	juēzuǐ
克期	剋期	A19	kèqī
空蒙	空濛	A20	kōngméng
昆仑	崑崙	A21	kūnlún
劳动	劳働	A22	láodòng
绿豆	菉豆	A23	lǜdòu
马扎	马劄	A24	mǎzhá
蒙眬	矇眬	A25	ménglóng
蒙蒙	濛濛	A26	méngméng
弥漫	瀰漫	A27	mímàn
弥蒙	瀰濛	A28	míméng
迷蒙	迷濛	A29	míméng
渺茫	淼茫	A30	miǎománg
飘扬	飘飏	A31	piāoyáng
憔悴	顦顇	A32	qiáocuì
轻扬	轻颺飏	A33	qīngyáng
水果	水菓	A34	shuǐguǒ
趟地	蹚地	A35	tāngdì
趟浑水	蹚浑水	A36	tānghúnshuǐ
趟水	蹚水	A37	tāngshuǐ
纨绔	纨袴	A38	wánkù
丫杈	桠杈	A39	yāchà
丫枝	桠枝	A40	yāzhī
殷勤	慇懃	A41	yīnqín
札记	劄记	A42	zhájì
枝丫	枝桠	A43	zhīyā
跖骨	蹠骨	A44	zhígǔ
