# 汉语拼音辞典-词语 word
# https://github.com/mapull/chinese-dictionary/blob/main/word/word.json
#
# 词语	拼音

AA制	AA zhì
遗志	yí zhì
遗忘	yí wàng
遗忠	yí zhōng
遗忧	yí yōu
遗念	yí niàn
遗忽	yí hū
遗怅	yí chàng
遗思	yí sī
遗性	yí xìng
遗恨	yí hèn
遗恨千古	yí hèn qiān gǔ
遗恨终天	yí hèn zhōng tiān
遗恩	yí ēn
遗恩余烈	yí ēn yú liè
遗恫	yí dòng
遗息	yí xī
遗恳	yí kěn
遗悔	yí huǐ
遗患	yí huàn
遗患无穷	yí huàn wú qióng
遗悮	yí wù
遗情	yí qíng
遗惑	yí huò
遗惜	yí xī
遗惠	yí huì
遗惠余泽	yí huì yú zé
遗想	yí xiǎng
遗愆	yí qiān
遗意	yí yì
遗愤	yí fèn
遗愿	yí yuàn
遗慝	yí tè
遗慨	yí kǎi
遗憾	yí hàn
遗戒	yí jiè
遗户	yí hù
遗扇	yí shàn
遗才	yí cái
遗托	yí tuō
遗折	yí zhé
遗挂	yí guà
遗捐	yí juān
遗授	yí shòu
遗撒	yí sā
遗操	yí cāo
遗放	yí fàng
遗政	yí zhèng
遗敕	yí chì
遗教	yí jiào
遗散	yí sàn
遗文	yí wén
遗文轶事	yí wén yì shì
遗文逸句	yí wén yì jù
遗施	yí shī
遗族	yí zú
遗旧	yí jiù
遗旨	yí zhǐ
遗时	yí shí
遗旷	yí kuàng
遗景	yí jǐng
遗智	yí zhì
遗曲	yí qū
遗望	yí wàng
遗本	yí běn
遗札	yí zhá
遗术	yí shù
遗朴	yí pǔ
遗材	yí cái
遗村	yí cūn
遗杯	yí bēi
遗构	yí gòu
遗枯	yí kū
遗案	yí àn
遗棠	yí táng
遗棰	yí chuí
遗植	yí zhí
遗楔	yí xiē
遗槁	yí gǎo
遗模	yí mó
遗欠	yí qiàn
遗歌	yí gē
遗武	yí wǔ
遗死	yí sǐ
遗殃	yí yāng
遗残	yí cán
遗殣	yí jìn
遗殿	yí diàn
遗毒	yí dú
遗民	yí mín
遗氓	yí máng
遗氛	yí fēn
遗没	yí méi
遗泄	yí xiè
遗法	yí fǎ
遗波	yí bō
遗泣	yí qì
遗注	yí zhù
遗泯	yí mǐn
遗泽	yí zé
遗洒	yí sǎ
遗流	yí liú
遗润	yí rùn
遗混	yí hùn
遗溲	yí sōu
遗溺	yí nì
遗滞	yí zhì
遗滴	yí dī
遗漏	yí lòu
遗火	yí huǒ
遗灾	yí zāi
遗炳	yí bǐng
遗烈	yí liè
遗烛	yí zhú
遗烟	yí yān
遗烬	yí jìn
遗热	yí rè
遗焦	yí jiāo
遗照	yí zhào
遗照图	yí zhào tú
遗燎	yí liáo
遗爇	yí ruò
遗爱	yí ài
遗爱碑	yí ài bēi
遗爽	yí shuǎng
遗牍	yí dú
遗物	yí wù
遗物忘形	yí wù wàng xíng
遗物识心	yí wù shí xīn
遗犀	yí xī
遗玉	yí yù
遗玩	yí wán
遗珍	yí zhēn
遗珠弃璧	yí zhū qì bì
遗珥	yí ěr
遗珥坠簪	yí ěr zhuì zān
遗珥堕簪	yí ěr duò zān
遗理	yí lǐ
遗生	yí shēng
遗生子	yí shēng zi
遗用	yí yòng
遗田	yí tián
遗男	yí nán
遗画	yí huà
遗甽	yí zhèn
遗甿	yí méng
遗畅	yí chàng
遗留	yí liú
遗略	yí lüè
遗疏	yí shū
遗疚	yí jiù
遗疾	yí jí
遗病	yí bìng
遗痕	yí hén
遗痛	yí tòng
遗盟	yí méng
遗直	yí zhí
遗真	yí zhēn
遗着	yí zhe
遗矢	yí shǐ
遗矢如冰	yí shǐ rú bīng
遗知	yí zhī
遗矩	yí jǔ
遗石	yí shí
遗石砚	yí shí yàn
遗砮	yí nǔ
遗础	yí chǔ
遗碍	yí ài
遗碑	yí bēi
遗碣	yí jié
遗磷	yí lín
遗礼	yí lǐ
遗祀	yí sì
遗祉	yí zhǐ
遗祚	yí zuò
遗祝	yí zhù
遗神	yí shén
遗祠	yí cí
遗祥	yí xiáng
遗祲	yí jìn
遗祸	yí huò
遗祸无穷	yí huò wú qióng
遗禁	yí jìn
遗福	yí fú
遗禾	yí hé
遗秀	yí xiù
遗秉	yí bǐng
遗种	yí zhǒng
遗秭	yí zǐ
遗积	yí jī
遗称	yí chēng
遗秽	yí huì
遗稚	yí zhì
遗稿	yí gǎo
遗穗	yí suì
遗穟	yí suì
遗穢	yí huì
遗章	yí zhāng
遗端	yí duān
遗笇	yí suàn
遗笏	yí hù
遗笑大方	yí xiào dà fāng
遗笔	yí bǐ
遗筌	yí quán
遗筑	yí zhù
遗策	yí cè
遗筭	yí suàn
遗筮	yí shì
遗简	yí jiǎn
遗算	yí suàn
遗箭	yí jiàn
遗篆	yí zhuàn
遗篇	yí piān
遗篇坠款	yí piān zhuì kuǎn
遗篇断简	yí piān duàn jiǎn
遗簪坠履	yí zān zhuì lǚ
遗簪坠屦	yí zān zhuì jù
遗簪坠珥	yí zān zhuì ěr
遗簪坠舄	yí zān zhuì xì
遗簪堕履	yí zān duò lǚ
遗簪堕屦	yí zān duò jù
遗簪堕珥	yí zān duò ěr
遗簪弃舄	yí zān qì xì
遗簪弊履	yí zān bì lǚ
遗簪弊屦	yí zān bì jù
遗簪绝缨	yí zān jué yīng
遗簪脱舄	yí zān tuō xì
遗簪败履	yí zān bài lǚ
遗粒	yí lì
遗粪	yí fèn
遗粮	yí liáng
遗精	yí jīng
遗紊	yí wěn
遗累	yí lèi
遗絶	yí jué
遗约	yí yuē
遗纪	yí jì
遗纸	yí zhǐ
遗组	yí zǔ
遗绍	yí shào
遗经	yí jīng
遗绚	yí xuàn
遗统	yí tǒng
遗绢	yí juàn
遗绩	yí jì
遗绪	yí xù
遗缅	yí miǎn
遗编坠简	yí biān zhuì jiǎn
遗编断简	yí biān duàn jiǎn
遗编绝简	yí biān jué jiǎn
遗缪	yí móu
遗缺	yí quē
遗置	yí zhì
遗罹	yí lí
遗美	yí měi
遗羞	yí xiū
遗翮	yí hé
遗翰	yí hàn
遗老	yí lǎo
遗老孤臣	yí lǎo gū chén
遗老遗少	yí lǎo yí shào
遗耋	yí dié
遗聉	yí wà
遗育	yí yù
遗胄	yí zhòu
遗胔	yí zì
遗胜	yí shèng
遗胤	yí yìn
遗胳	yí gē
遗脉	yí mài
遗脯	yí pú
遗脱	yí tuō
遗腹	yí fù
遗腹儿	yí fù ér
遗腹子	yí fù zi
遗腹孙	yí fù sūn
遗腹孽	yí fù niè
遗臊撒粪	yí sāo sǎ fèn
遗臣	yí chén
遗臭	yí chòu
遗臭万世	yí chòu wàn shì
遗臭万代	yí chòu wàn dài
遗臭万年	yí chòu wàn nián
遗臭万载	yí chòu wàn zǎi
遗臭千代	yí chòu qiān dài
遗臭千年	yí chòu qiān nián
遗臭千秋	yí chòu qiān qiū
遗臭无穷	yí chòu wú qióng
遗舃	yí xì
遗舛	yí chuǎn
遗艰投大	yí jiān tóu dà
遗艹	yí cǎo
遗艺	yí yì
遗芒	yí máng
遗芥	yí jiè
遗芬	yí fēn
遗芬余荣	yí fēn yú róng
遗芬剩馥	yí fēn shèng fù
遗芳	yí fāng
遗芳余烈	yí fāng yú liè
遗芳梦室	yí fāng mèng shì
遗苗	yí miáo
遗苞	yí bāo
遗英	yí yīng
遗范	yí fàn
遗茔	yí yíng
遗草	yí cǎo
遗荒	yí huāng
遗荡	yí dàng
遗荣	yí róng
遗荫	yí yīn
遗莱	yí lái
遗萌	yí méng
遗萼	yí è
遗落	yí luò
遗落世事	yí luò shì shì
遗著	yí zhù
遗薄	yí báo
遗藉	yí jí
遗藏	yí cáng
遗藳	yí gǎo
遗藴	yí yùn
遗虏	yí lǔ
遗虐	yí nüè
遗虑	yí lǜ
遗蛇	yí shé
遗蜕	yí tuì
遗蝗	yí huáng
遗螫	yí shì
遗行	yí xíng
遗衣	yí yī
遗补	yí bǔ
遗表	yí biǎo
遗衾	yí qīn
遗裔	yí yì
遗裕	yí yù
遗裲	yí liǎng
遗覆	yí fù
遗规	yí guī
遗视	yí shì
遗言	yí yán
遗誓	yí shì
遗计	yí jì
遗训	yí xùn
遗训余风	yí xùn yú fēng
遗训可秉	yí xùn kě bǐng
遗记	yí jì
遗讴	yí ōu
遗论	yí lùn
遗识	yí shí
遗词	yí cí
遗诏	yí zhào
遗诗	yí shī
遗诛	yí zhū
遗话	yí huà
遗诫	yí jiè
遗语	yí yǔ
遗误	yí wù
遗诰	yí gào
遗诲	yí huì
遗说	yí shuō
遗诺	yí nuò
遗调	yí diào
遗谋	yí móu
遗谚	yí yàn
遗谞	yí xū
遗谬	yí miù
遗谱	yí pǔ
遗象	yí xiàng
遗貌取神	yí mào qǔ shén
遗财	yí cái
遗贤	yí xián
遗质	yí zhì
遗贱	yí jiàn
遗贼	yí zéi
遗赀	yí zī
遗赂	yí lù
遗资	yí zī
遗赈	yí zhèn
遗赉	yí lài
遗赏	yí shǎng
遗赐	yí cì
遗赠	yí zèng
遗趣	yí qù
遗趾	yí zhǐ
遗路	yí lù
遗踪	yí zōng
遗踵	yí zhǒng
遗身	yí shēn
遗躬	yí gōng
遗轨	yí guǐ
遗转	yí zhuǎn
遗轶	yí yì
遗轻	yí qīng
遗载	yí zài
遗辉	yí huī
遗辙	yí zhé
遗辞	yí cí
遗远	yí yuǎn
遗迤	yí yí
遗迸	yí bèng
遗迹	yí jì
遗迹谈虚	yí jì tán xū
遗送	yí sòng
遗逋	yí bū
遗逸	yí yì
遗遁	yí dùn
遗道	yí dào
遗遗	yí yí
遗邑	yí yì
遗都	yí dōu
遗酌	yí zhuó
遗里	yí lǐ
遗野	yí yě
遗金	yí jīn
遗録	yí lù
遗钩	yí gōu
遗钿坠舄	yí diàn zhuì xì
遗错	yí cuò
遗锦	yí jǐn
遗镞	yí zú
遗问	yí wèn
遗闻	yí wén
遗闻琐事	yí wén suǒ shì
遗闻轶事	yí wén yì shì
遗闻逸事	yí wén yì shì
遗阙	yí quē
遗阡	yí qiān
遗阴	yí yīn
遗陂	yí bēi
遗隍	yí huáng
遗隐	yí yǐn
遗隔	yí gé
遗集	yí jí
遗雏	yí chú
遗音	yí yīn
遗音余韵	yí yīn yú yùn
遗顽	yí wán
遗颁	yí bān
遗风	yí fēng
遗风余习	yí fēng yú xí
遗风余俗	yí fēng yú sú
遗风余思	yí fēng yú sī
遗风余教	yí fēng yú jiào
遗风余泽	yí fēng yú zé
遗风余烈	yí fēng yú liè
遗风余象	yí fēng yú xiàng
遗风余采	yí fēng yú cǎi
遗风余韵	yí fēng yú yùn
遗风古道	yí fēng gǔ dào
遗风旧俗	yí fēng jiù sú
遗风逸尘	yí fēng yì chén
遗风遗泽	yí fēng yí zé
遗饮	yí yǐn
遗饷	yí xiǎng
遗馈	yí kuì
遗香	yí xiāng
遗馥	yí fù
遗骨	yí gǔ
遗骴	yí cī
遗骸	yí hái
遗鬼	yí guǐ
遗魂	yí hún
遗魂亡魄	yí hún wáng pò
遗魄	yí pò
遗鲤	yí lǐ
遗黎	yí lí
遗黎故老	yí lí gù lǎo
遘会	gòu huì
遘奸	gòu jiān
遘屯	gòu tún
遘恶	gòu è
遘患	gòu huàn
遘愍	gòu mǐn
遘慝	gòu tè
遘扇	gòu shàn
遘时	gòu shí
遘祸	gòu huò
遘纷	gòu fēn
遘结	gòu jié
遘罹	gòu lí
遘谗	gòu chán
遘辰	gòu chén
遘迕	gòu wù
遘逆	gòu nì
遘遇	gòu yù
遘闵	gòu mǐn
遘际	gòu jì
遘难	gòu nán
遛弯	liú wān
遛弯儿	liú wān ér
遛搭	liú dā
遛早	liú zǎo
遛早儿	liú zǎo ér
遛步	liú bù
遛狗	liú gǒu
遛脚	liú jiǎo
遛腿	liú tuǐ
遛达	liú dá
遛食	liú shí
遛马	liú mǎ
遛鸟	liú niǎo
遝冈复岭	tà gāng fù lǐng
遡律	sù lǜ
遡波	sù bō
遡洄	sù huí
遡流	sù liú
遡流徂源	sù liú cú yuán
遡流求源	sù liú qiú yuán
遡游	sù yóu
遢伎儿	tà jì ér
遢邋	tà lā
遣书	qiǎn shū
遣令	qiǎn lìng
遣价	qiǎn jià
遣使	qiǎn shǐ
遣俘	qiǎn fú
遣信	qiǎn xìn
遣兴	qiǎn xīng
遣兴陶情	qiǎn xìng táo qíng
遣兵调将	qiǎn bīng diào jiàng
遣具	qiǎn jù
遣军	qiǎn jūn
遣决	qiǎn jué
遣制	qiǎn zhì
遣动	qiǎn dòng
遣发	qiǎn fā
遣召	qiǎn zhào
遣员	qiǎn yuán
遣哀	qiǎn āi
遣唐使	qiǎn táng shǐ
遣唤	qiǎn huàn
遣声	qiǎn shēng
遣奠	qiǎn diàn
遣嫁	qiǎn jià
遣官	qiǎn guān
遣寄	qiǎn jì
遣将	qiǎn jiāng
遣将征兵	qiǎn jiāng zhēng bīng
遣将调兵	qiǎn jiāng diào bīng
遣差	qiǎn chà
遣币	qiǎn bì
遣归	qiǎn guī
遣怀	qiǎn huái
遣恶	qiǎn è
遣情	qiǎn qíng
遣愁	qiǎn chóu
遣愁索笑	qiǎn chóu suǒ xiào
遣意	qiǎn yì
遣戍	qiǎn shù
遣散	qiǎn sàn
遣斥	qiǎn chì
遣施	qiǎn shī
遣日	qiǎn rì
遣昼	qiǎn zhòu
遣暑	qiǎn shǔ
遣欲	qiǎn yù
遣派	qiǎn pài
遣流	qiǎn liú
遣犯	qiǎn fàn
遣狱之化	qiǎn yù zhī huà
遣用	qiǎn yòng
遣策	qiǎn cè
遣累	qiǎn lèi
遣纪	qiǎn jì
遣罪	qiǎn zuì
遣虱	qiǎn shī
遣行	qiǎn xíng
遣言	qiǎn yán
遣言措意	qiǎn yán cuò yì
遣词	qiǎn cí
遣词措意	qiǎn cí cuò yì
遣词立意	qiǎn cí lì yì
遣词造句	qiǎn cí zào jù
遣词造意	qiǎn cí zào yì
遣谪	qiǎn zhé
遣车	qiǎn chē
遣辞	qiǎn cí
遣辞措意	qiǎn cí cuò yì
遣返	qiǎn fǎn
遣还	qiǎn hái
遣送	qiǎn sòng
遣适	qiǎn shì
遣遇	qiǎn yù
遣释	qiǎn shì
遣问	qiǎn wèn
遣闲	qiǎn xián
遣闷	qiǎn mèn
遣除	qiǎn chú
遥久	yáo jiǔ
遥亘千里	yáo gè qiān lǐ
遥以心照	yáo yǐ xīn zhào
遥仰	yáo yǎng
遥企	yáo qǐ
遥兴	yáo xīng
遥冶	yáo yě
遥制	yáo zhì
遥同	yáo tóng
遥呼相应	yáo hū xiāng yìng
遥地里	yáo dì lǐ
遥堤	yáo dī
遥夕	yáo xī
遥夜	yáo yè
遥夜沉沉	yáo yè chén chén
遥大	yáo dà
遥天	yáo tiān
遥寄	yáo jì
遥山	yáo shān
遥岑	yáo cén
遥岑寸碧	yáo cén cùn bì
遥带	yáo dài
遥应	yáo yīng
遥度	yáo dù
遥役	yáo yì
遥心	yáo xīn
遥忆	yáo yì
遥念	yáo niàn
遥思	yáo sī
遥悚	yáo sǒng
遥情	yáo qíng
遥想	yáo xiǎng
遥感	yáo gǎn
遥拜	yáo bài
遥指	yáo zhǐ
遥指空中雁做羹	yáo zhǐ kōng zhōng yàn zuò gēng
遥授	yáo shòu
遥控	yáo kòng
遥摄	yáo shè
遥曳	yáo yè
遥望	yáo wàng
遥测	yáo cè
遥测仪表	yáo cè yí biǎo
遥涂	yáo tú
遥深	yáo shēn
遥源	yáo yuán
遥目	yáo mù
遥相呼应	yáo xiāng hū yìng
遥相应和	yáo xiāng yìng hè
遥看	yáo kàn
遥眺	yáo tiào
遥眼	yáo yǎn
遥睇	yáo dì
遥睹	yáo dǔ
遥瞩	yáo zhǔ
遥瞻	yáo zhān
遥知	yáo zhī
遥碧	yáo bì
遥礼	yáo lǐ
遥祝	yáo zhù
遥祠	yáo cí
遥祭	yáo jì
遥程	yáo chéng
遥穹	yáo qióng
遥空	yáo kōng
遥纪	yáo jì
遥统	yáo tǒng
遥绪	yáo xù
遥缄	yáo jiān
遥缅	yáo miǎn
遥署	yáo shǔ
遥羡	yáo xiàn
遥胄	yáo zhòu
遥艳	yáo yàn
遥芬	yáo fēn
遥荡	yáo dàng
遥荡恣睢	yáo dàng zì suī
遥衍	yáo yǎn
遥街	yáo jiē
遥袅	yáo niǎo
遥裔	yáo yì
遥见	yáo jiàn
遥观	yáo guān
遥视	yáo shì
遥识	yáo shí
遥语	yáo yǔ
遥谢	yáo xiè
遥辇	yáo niǎn
遥迈	yáo mài
遥远	yáo yuǎn
遥迹	yáo jì
遥送	yáo sòng
遥途	yáo tú
遥逝	yáo shì
遥遥	yáo yáo
遥遥华胄	yáo yáo huá zhòu
遥遥在望	yáo yáo zài wàng
遥遥无期	yáo yáo wú qī
遥遥相对	yáo yáo xiāng duì
遥遥相望	yáo yáo xiāng wàng
遥遥领先	yáo yáo lǐng xiān
遥长	yáo zhǎng
遥闻	yáo wén
遥阔	yáo kuò
遥集	yáo jí
遥青	yáo qīng
遥领	yáo lǐng
遥香草	yáo xiāng cǎo
遨游	áo yóu
遨翔自得	áo xiáng zì dé
遫优	chì yōu
遫俗絶物	chì sú jué wù
遫俗绝物	chuò sú jué wù
遫姹	chì chà
遫斡	chì wò
遫絶	chì jué
遫荦	chì luò
遫行	chì xíng
遫覆	chì fù
遫见	chì jiàn
遫越	chì yuè
遫跞	chì lì
遫迈	chì mài
遫远	chì yuǎn
遫遫	chì chì
遫龙	chì lóng
遬听远闻	tì tīng yuǎn wén
遬濮	sù pú
遬远	sù yuǎn
遬遬	sù sù
遭丧	zāo sàng
遭乱	zāo luàn
遭事	zāo shì
遭事制宜	zāo shì zhì yí
遭会	zāo huì
遭伤	zāo shāng
遭值	zāo zhí
遭倾遇祸	zāo qīng yù huò
遭凶	zāo xiōng
遭刼	zāo jié
遭劫	zāo jié
遭劫在数	zāo jié zài shù
遭厄	zāo è
遭历	zāo lì
遭受	zāo shòu
遭变	zāo biàn
遭周	zāo zhōu
遭呵	zāo hē
遭命	zāo mìng
遭嗔	zāo chēn
遭囚	zāo qiú
遭困	zāo kùn
遭坏	zāo huài
遭塌	zāo tā
遭孽	zāo niè
遭害	zāo hài
遭家不造	zāo jiā bù zào
遭寃	zāo yuān
遭屯	zāo tún
遭徒	zāo tú
遭心	zāo xīn
遭忌	zāo jì
遭忧	zāo yōu
遭怨	zāo yuàn
遭患	zāo huàn
遭戮	zāo lù
遭执	zāo zhí
遭扰	zāo rǎo
遭报	zāo bào
遭旱	zāo hàn
遭时	zāo shí
遭时不偶	zāo shí bù ǒu
遭时制宜	zāo shí zhì yí
遭时定制	zāo shí dìng zhì
遭杖	zāo zhàng
遭枉	zāo wǎng
遭殃	zāo yāng
遭济	zāo jì
遭火	zāo huǒ
遭灾	zāo zāi
遭獭	zāo tǎ
遭用	zāo yòng
遭疾	zāo jí
遭瘟	zāo wēn
遭祸	zāo huò
遭离	zāo lí
遭累	zāo lèi
遭纷	zāo fēn
遭罪	zāo zuì
遭罹	zāo lí
遭艰	zāo jiān
遭荒	zāo huāng
遭荼	zāo tú
遭触	zāo chù
遭诛	zāo zhū
遭诬	zāo wū
遭谗	zāo chán
遭谤	zāo bàng
遭践	zāo jiàn
遭踬	zāo zhì
遭辱	zāo rǔ
遭迍	zāo zhūn
遭运	zāo yùn
遭逢	zāo féng
遭逢不偶	zāo féng bù ǒu
遭逢会遇	zāo féng huì yù
遭逢时会	zāo féng shí huì
遭逢际会	zāo féng jì huì
遭遇	zāo yù
遭遇不偶	zāo yù bù ǒu
遭遇战	zāo yù zhàn
遭遇运会	zāo yù yùn huì
遭遇际会	zāo yù jì huì
遭阨	zāo è
遭际	zāo jì
遭际不偶	zāo jì bù ǒu
遭际时会	zāo jì shí huì
遭险	zāo xiǎn
遭随	zāo suí
遭难	zāo nàn
遭风	zāo fēng
遮三瞒四	zhē sān mán sì
遮不	zhē bù
遮丑	zhē chǒu
遮个	zhē gè
遮人眼目	zhē rén yǎn mù
遮人耳目	zhē rén ěr mù
遮兰	zhē lán
遮冒	zhē mào
遮冬	zhē dōng
遮击	zhē jī
遮列	zhē liè
遮剌	zhē lá
遮前掩后	zhē qián yǎn hòu
遮劫	zhē jié
遮匝	zhē zā
遮占	zhē zhàn
遮卫	zhē wèi
遮厉	zhē lì
遮咤迦鸟	zhē zhà jiā niǎo
遮嘱	zhē zhǔ
遮嚣	zhē xiāo
遮回	zhē huí
遮地漫天	zhē dì màn tiān
遮地盖天	zhē dì gài tiān
遮堂	zhē táng
遮壅	zhē yōng
遮天	zhē tiān
遮天压地	zhē tiān yā dì
遮天子	zhē tiān zi
遮天映日	zhē tiān yìng rì
遮天盖地	zhē tiān gài dì
遮天盖日	zhē tiān gài rì
遮天蔽日	zhē tiān bì rì
遮天迷地	zhē tiān mí dì
遮头安脚	zhē tóu ān jiǎo
遮奢	zhē shē
遮姑	zhē gū
遮寨	zhē zhài
遮幪	zhē méng
遮庇	zhē bì
遮当	zhē dāng
遮影	zhē yǐng
遮恋	zhē liàn
遮截	zhē jié
遮手	zhē shǒu
遮扼	zhē è
遮抑	zhē yì
遮抜	zhē bá
遮护	zhē hù
遮抵	zhē dǐ
遮抹	zhē mǒ
遮拥	zhē yōng
遮拦	zhē lán
遮拨	zhē bō
遮挡	zhē dǎng
遮挽	zhē wǎn
遮捺	zhē nà
遮掩	zhē yǎn
遮掩耳目	zhē yǎn ěr mù
遮敷	zhē fū
遮断	zhē duàn
遮映	zhē yìng
遮暎	zhē yìng
遮末	zhē mò
遮架	zhē jià
遮栏	zhē lán
遮檐	zhē yán
遮止	zhē zhǐ
遮没	zhē méi
遮沿	zhē yán
遮洋	zhē yáng
遮渠	zhē qú
遮漫	zhē màn
遮留	zhē liú
遮略	zhē lüè
遮盖	zhē gài
遮眼	zhē yǎn
遮眼法	zhē yǎn fǎ
遮瞒	zhē mán
遮碍	zhē ài
遮禁	zhē jìn
遮空蔽日	zhē kōng bì rì
遮笼	zhē lóng
遮箭牌	zhē jiàn pái
遮篷	zhē péng
遮簇	zhē cù
遮糊	zhē hú
遮絶	zhē jué
遮绕	zhē rào
遮罔	zhē wǎng
遮罗	zhē luó
遮羞	zhē xiū
遮羞包丑	zhē xiū bāo chǒu
遮羞布	zhē xiū bù
遮翳	zhē yì
遮般	zhē bān
遮荫	zhē yīn
遮莫	zhē mò
遮获	zhē huò
遮萆	zhē bì
遮蒙	zhē méng
遮蔽	zhē bì
遮藏	zhē cáng
遮行	zhē xíng
遮要	zhē yào
遮覆	zhē fù
遮诠	zhē quán
遮语	zhē yǔ
遮说	zhē shuō
遮路	zhē lù
遮车	zhē chē
遮辙	zhē zhé
遮辩	zhē biàn
遮边	zhē biān
遮迣	zhē zhì
遮迭	zhē dié
遮迾	zhē liè
遮逻	zhē luó
遮遏	zhē è
遮道	zhē dào
遮遮捂捂	zhē zhē wǔ wǔ
遮遮掩掩	zhē zhē yǎn yǎn
遮邀	zhē yāo
遮里	zhē lǐ
遮锢	zhē gù
遮阂	zhē hé
遮阑	zhē lán
遮防	zhē fáng
遮阳	zhē yáng
遮阳伞	zhē yáng sǎn
遮阳帽	zhē yáng mào
遮阳镜	zhē yáng jìng
遮阴	zhē yīn
遮隐	zhē yǐn
遮隔	zhē gé
遮障	zhē zhàng
遮面子	zhē miàn zi
遮须国	zhē xū guó
遮风挡雨	zhē fēng dǎng yǔ
遮饰	zhē shì
遮齐	zhē qí
遳子	cuō zi
遳脆	cuō cuì
遳陋	cuō lòu
遴选	lín xuǎn
遵业	zūn yè
遵义会议	zūn yì huì yì
遵义会议会址	zūn yì huì yì huì zhǐ
遵习	zūn xí
遵从	zūn cóng
遵例	zūn lì
遵信	zūn xìn
遵修	zūn xiū
遵候	zūn hòu
遵养	zūn yǎng
遵养待时	zūn yǎng dài shí
遵养时晦	zūn yǎng shí huì
遵养晦时	zūn yǎng huì shí
遵凭	zūn píng
遵制	zūn zhì
遵办	zūn bàn
遵厌兆祥	zūn yàn zhào xiáng
遵命	zūn mìng
遵复	zūn fù
遵学	zūn xué
遵守	zūn shǒu
遵尧	zūn yáo
遵履	zūn lǚ
遵崇	zūn chóng
遵帅	zūn shuài
遵常守故	zūn cháng shǒu gù
遵循	zūn xún
遵德	zūn dé
遵执	zūn zhí
遵承	zūn chéng
遵效	zūn xiào
遵敕	zūn chì
遵教	zūn jiào
遵敬	zūn jìng
遵旧	zūn jiù
遵时	zūn shí
遵时养晦	zūn shí yǎng huì
遵晦	zūn huì
遵条	zūn tiáo
遵法	zūn fǎ
遵海	zūn hǎi
遵涂	zūn tú
遵渚	zūn zhǔ
遵照	zūn zhào
遵率	zūn lǜ
遵理	zūn lǐ
遵礼	zūn lǐ
遵禀	zūn bǐng
遵禁	zūn jìn
遵约	zūn yuē
遵绳	zūn shéng
遵而不失	zūn ér bù shī
遵而勿失	zūn ér wù shī
遵职	zūn zhí
遵节	zūn jié
遵行	zūn xíng
遵让	zūn ràng
遵谕	zūn yù
遵路	zūn lù
遵蹈	zūn dǎo
遵軄	zūn zhí
遵迹	zūn jì
遵途	zūn tú
遵遁	zūn dùn
遵道	zūn dào
遵道秉义	zūn dào bǐng yì
遵酌	zūn zhuó
遵钦	zūn qīn
遵陆	zūn lù
遵鸿	zūn hóng
遶佛	rào fú
遶圜	rào huán
遶弄	rào nòng
遶指	rào zhǐ
遶指柔	rào zhǐ róu
遶束	rào shù
遶梁	rào liáng
遶梁歌	rào liáng gē
遶殿雷	rào diàn léi
遶膝	rào xī
遶身	rào shēn
遶道	rào dào
遶遶	rào rào
遹皇	yù huáng
遹追	yù zhuī
遽亟	jù jí
遽人	jù rén
遽传	jù chuán
遽几	jù jǐ
遽切	jù qiè
遽卒	jù zú
遽即	jù jí
遽央	jù yāng
遽委	jù wěi
遽宁	jù níng
遽容	jù róng
遽尔	jù ěr
遽忙	jù máng
遽惕	jù tì
遽惶	jù huáng
遽戚	jù qī
遽步	jù bù
遽淹	jù yān
遽然	jù rán
遽簒	jù cuàn
遽色	jù sè
遽迫	jù pò
遽遥	jù yáo
遽驿	jù yì
避丁	bì dīng
避三舍	bì sān shě
避世	bì shì
避世墙东	bì shì qiáng dōng
避世朝廷	bì shì cháo tíng
避世离俗	bì shì lí sú
避世绝俗	bì shì jué sú
避世金门	bì shì jīn mén
避世金马	bì shì jīn mǎ
避丸	bì wán
避之若浼	bì zhī ruò měi
避乖	bì guāi
避乖龙	bì guāi lóng
避乘骢	bì chéng cōng
避乡	bì xiāng
避乱	bì luàn
避事	bì shì
避井入坎	bì jǐng rù kǎn
避亲	bì qīn
避人	bì rén
避人眼目	bì rén yǎn mù
避人耳目	bì rén ěr mù
避仇	bì chóu
避仕	bì shì
避伏	bì fú
避位	bì wèi
避俗	bì sú
避俗趋新	bì sú qū xīn
避债	bì zhài
避债台	bì zhài tái
避僧	bì sēng
避免	bì miǎn
避兵	bì bīng
避其锐气	bì qí ruì qì
避其锐气，击其惰归	bì qí ruì qì，jī qí duò guī
避军三舍	bì jūn sān shè
避凉附炎	bì liáng fù yán
避凶	bì xiōng
避凶就吉	bì xiōng jiù jí
避凶趋吉	bì xiōng qū jí
避刑	bì xíng
避劫	bì jié
避匿	bì nì
避卧	bì wò
避厪	bì jǐn
避去	bì qù
避名	bì míng
避吏	bì lì
避君三舍	bì jūn sān shè
避命	bì mìng
避咎	bì jiù
避唐	bì táng
避喧	bì xuān
避嚣	bì xiāo
避嚣习静	bì xiāo xí jìng
避回	bì huí
避国	bì guó
避地	bì dì
避坐	bì zuò
避坑落井	bì kēng luò jǐng
避堂	bì táng
避堇	bì jǐn
避境	bì jìng
避墬	bì dì
避处	bì chù
避复	bì fù
避头	bì tóu
避妍	bì yán
避妖圈	bì yāo quān
避姙	bì rèn
避嫌	bì xián
避嫌守义	bì xián shǒu yì
