# 《国际中文教育中文水平等级标准》1-9级
# 20210324-GF 0025-2021《国际中文教育中文水平等级标准》.pdf
# https://github.com/shawkynasr/HSK-official-Query-System
# https://github.com/dawei7/new_hsk_scraping
# https://pandarin.net/new-hsk/
# http://www.davidpetersson.com/hsk-the-complete-hanban-lists-with-english-definitions/
# https://github.com/gigacool/hanyu-shuiping-kaoshi/blob/master/hsk.csv
#
# 备注，主要区别：
# - 称1（chèn）/称2（chēng）
# - 面1（脸面，方面）/面2（面条，繁体“麵、麪”）
#
# 词语	词性	拼音	序号	级别

强壮	形、动	qiángzhuàng	4969	六级
桥梁	名	qiáoliáng	4970	六级
巧妙	形	qiǎomiào	4971	六级
茄子	名	qiézi	4972	六级
切实	形	qièshí	4973	六级
侵犯	动	qīnfàn	4974	六级
亲属	名	qīnshǔ	4975	六级
亲眼	副	qīnyǎn	4976	六级
倾向	动、名	qīngxiàng	4977	六级
清	形、动	qīng	4978	六级
清洁	形	qīngjié	4979	六级
清洁工	名	qīngjiégōng	4980	六级
清明节	名	Qīngmíng Jié	4981	六级
清洗	动	qīngxǐ	4982	六级
情绪	名	qíngxù	4983	六级
求职	动	qiúzhí	4984	六级
球拍	名	qiúpāi	4985	六级
球星	名	qiúxīng	4986	六级
球员	名	qiúyuán	4987	六级
区分	动	qūfēn	4988	六级
渠道	名	qúdào	4989	六级
取款	动	qǔkuǎn	4990	六级
取款机	名	qǔkuǎnjī	4991	六级
去掉		qùdiào	4992	六级
权	名	quán	4993	六级
权力	名	quánlì	4994	六级
全力	名	quánlì	4995	六级
全新	形	quánxīn	4996	六级
券	名	quàn	4997	六级
缺陷	名	quēxiàn	4998	六级
却是		què shì	4999	六级
让座		ràng∥zuò	5000	六级
热点	名	rèdiǎn	5001	六级
热水	名	rèshuǐ	5002	六级
热水器	名	rèshuǐqì	5003	六级
热线	名	rèxiàn	5004	六级
人权	名	rénquán	5005	六级
认同	动	rèntóng	5006	六级
日夜	名	rìyè	5007	六级
日语	名	Rìyǔ	5008	六级
融合	动	rónghé	5009	六级
融入		róngrù	5010	六级
如	动、连	rú	5011	六级
如一	动	rúyī	5012	六级
乳制品	名	rǔzhìpǐn	5013	六级
入	动	rù	5014	六级
入学		rù∥xué	5015	六级
若	连	ruò	5016	六级
塞	动	sāi	5017	六级
赛	动	sài	5018	六级
赛场	名	sàichǎng	5019	六级
三明治	名	sānmíngzhì	5020	六级
丧失	动	sàngshī	5021	六级
山峰	名	shānfēng	5022	六级
山谷	名	shāngǔ	5023	六级
山坡	名	shānpō	5024	六级
伤口	名	shāngkǒu	5025	六级
伤亡	动、名	shāngwáng	5026	六级
伤员	名	shāngyuán	5027	六级
商城	名	shāngchéng	5028	六级
上当		shàng∥dàng	5029	六级
上帝	名	Shàngdì	5030	六级
上市		shàng∥shì	5031	六级
上台		shàng∥tái	5032	六级
上演	动	shàngyǎn	5033	六级
勺	名	sháo	5034	六级
少儿	名	shào’ér	5035	六级
舌头	名	shétou	5036	六级
设计师	名	shèjìshī	5037	六级
涉及	动	shèjí	5038	六级
深化	动	shēnhuà	5039	六级
深深		shēnshēn	5040	六级
审查	动	shěnchá	5041	六级
升级		shēng∥jí	5042	六级
升学		shēng∥xué	5043	六级
升值	动	shēngzhí	5044	六级
生活费	名	shēnghuófèi	5045	六级
省钱		shěng∥qián	5046	六级
圣诞节	名	Shèngdàn Jié	5047	六级
盛行	动	shèngxíng	5048	六级
师父	名	shīfu	5049	六级
师生	名	shīshēng	5050	六级
时而	副	shí’ér	5051	六级
时节	名	shíjié	5052	六级
时期	名	shíqī	5053	六级
时时	副	shíshí	5054	六级
时装	名	shízhuāng	5055	六级
识	动	shí	5056	六级
识字		shí∥zì	5057	六级
实践	动、名	shíjiàn	5058	六级
食欲	名	shíyù	5059	六级
市民	名	shìmín	5060	六级
事后	名	shìhòu	5061	六级
试点	动、名	shìdiǎn	5062	六级
适当	形	shìdàng	5063	六级
收藏	动	shōucáng	5064	六级
收取	动	shōuqǔ	5065	六级
收养	动	shōuyǎng	5066	六级
手续费	名	shǒuxùfèi	5067	六级
首	名	shǒu	5068	六级
首次		shǒucì	5069	六级
首脑	名	shǒunǎo	5070	六级
首席	名、形	shǒuxí	5071	六级
首相	名	shǒuxiàng	5072	六级
书房	名	shūfáng	5073	六级
薯片	名	shǔpiàn	5074	六级
薯条	名	shǔtiáo	5075	六级
双打	名	shuāngdǎ	5076	六级
爽	形	shuǎng	5077	六级
水泥	名	shuǐní	5078	六级
税	名	shuì	5079	六级
顺	形、动、介	shùn	5080	六级
说明书	名	shuōmíngshū	5081	六级
说实话		shuō shíhuà	5082	六级
司长	名	sīzhǎng	5083	六级
死亡	动	sǐwáng	5084	六级
四处	名	sìchù	5085	六级
寺	名	sì	5086	六级
送礼		sòng∥lǐ	5087	六级
送行		sòng∥xíng	5088	六级
素质	名	sùzhì	5089	六级
算了	动	suànle	5090	六级
算是	副	suànshì	5091	六级
虽	连	suī	5092	六级
岁数	名	suìshu	5093	六级
所	助	suǒ	5094	六级
踏实	形	tāshi	5095	六级
塔	名	tǎ	5096	六级
踏	动	tà	5097	六级
台灯	名	táidēng	5098	六级
太阳能	名	tàiyángnéng	5099	六级
叹气		tàn∥qì	5100	六级
探索	动	tànsuǒ	5101	六级
探讨	动	tàntǎo	5102	六级
趟	量	tàng	5103	六级
掏	动	tāo	5104	六级
特	副	tè	5105	六级
特大	形	tèdà	5106	六级
特地	副	tèdì	5107	六级
特快	形	tèkuài	5108	六级
特意	副	tèyì	5109	六级
疼痛	形	téngtòng	5110	六级
踢	动	tī	5111	六级
提交	动	tíjiāo	5112	六级
提升	动	tíshēng	5113	六级
天然	形	tiānrán	5114	六级
天堂	名	tiāntáng	5115	六级
天下	名	tiānxià	5116	六级
添	动	tiān	5117	六级
田	名	tián	5118	六级
田径	名	tiánjìng	5119	六级
跳水	动	tiàoshuǐ	5120	六级
听取	动	tīngqǔ	5121	六级
通报	动、名	tōngbào	5122	六级
通道	名	tōngdào	5123	六级
通红	形	tōnghóng	5124	六级
通话		tōng∥huà	5125	六级
通行	动	tōngxíng	5126	六级
通讯	名	tōngxùn	5127	六级
同	形、副、介	tóng	5128	六级
同胞	名	tóngbāo	5129	六级
同行	名	tóngháng	5130	六级
同期	名	tóngqī	5131	六级
同一	形	tóngyī	5132	六级
铜牌	名	tóngpái	5133	六级
头疼	形	tóuténg	5134	六级
投票		tóu∥piào	5135	六级
透露	动	tòulù	5136	六级
图书	名	túshū	5137	六级
徒弟	名	tú·dì	5138	六级
途径	名	tújìng	5139	六级
土	形	tǔ	5140	六级
团队	名	tuánduì	5141	六级
推出	动	tuīchū	5142	六级
退票		tuì∥piào	5143	六级
吞	动	tūn	5144	六级
托	动	tuō	5145	六级
拖	动	tuō	5146	六级
拖鞋	名	tuōxié	5147	六级
挖	动	wā	5148	六级
娃娃	名	wáwa	5149	六级
哇	助	wa	5150	六级
外币	名	wàibì	5151	六级
外部	名	wàibù	5152	六级
外出	动	wàichū	5153	六级
外观	名	wàiguān	5154	六级
外科	名	wàikē	5155	六级
外来	形	wàilái	5156	六级
外头	名	wàitou	5157	六级
外衣	名	wàiyī	5158	六级
外资	名	wàizī	5159	六级
弯曲	形	wānqū	5160	六级
顽皮	形	wánpí	5161	六级
顽强	形	wánqiáng	5162	六级
王后	名	wánghòu	5163	六级
王子	名	wángzǐ	5164	六级
网吧	名	wǎngbā	5165	六级
网页	名	wǎngyè	5166	六级
往后	名	wǎnghòu	5167	六级
往来	动	wǎnglái	5168	六级
往年	名	wǎngnián	5169	六级
望见		wàng·jiàn	5170	六级
危机	名	wēijī	5171	六级
威胁	动	wēixié	5172	六级
微波炉	名	wēibōlú	5173	六级
维生素	名	wéishēngsù	5174	六级
为此	连	wèicǐ	5175	六级
为何	副	wèihé	5176	六级
文娱	名	wényú	5177	六级
卧铺	名	wòpù	5178	六级
乌云	名	wūyún	5179	六级
无边	动	wúbiān	5180	六级
无关	动	wúguān	5181	六级
无效	动	wúxiào	5182	六级
舞蹈	名	wǔdǎo	5183	六级
物品	名	wùpǐn	5184	六级
误	动	wù	5185	六级
西班牙语	名	Xībānyáyǔ	5186	六级
吸毒		xī∥dú	5187	六级
牺牲	动、名	xīshēng	5188	六级
洗衣粉	名	xǐyīfěn	5189	六级
戏曲	名	xìqǔ	5190	六级
细胞	名	xìbāo	5191	六级
细菌	名	xìjūn	5192	六级
先锋	名	xiānfēng	5193	六级
嫌	动	xián	5194	六级
显出		xiǎnchū	5195	六级
险	形	xiǎn	5196	六级
线路	名	xiànlù	5197	六级
陷入	动	xiànrù	5198	六级
响声	名	xiǎngshēng	5199	六级
想不到	动	xiǎngbudào	5200	六级
消耗	动、名	xiāohào	5201	六级
消灭	动	xiāomiè	5202	六级
小费	名	xiǎofèi	5203	六级
小麦	名	xiǎomài	5204	六级
小于	动	xiǎoyú	5205	六级
晓得	动	xiǎode	5206	六级
笑脸	名	xiàoliǎn	5207	六级
笑容	名	xiàoróng	5208	六级
笑声	名	xiàoshēng	5209	六级
协会	名	xiéhuì	5210	六级
协商	动	xiéshāng	5211	六级
协调	动、形	xiétiáo	5212	六级
协助	动	xiézhù	5213	六级
写字楼	名	xiězìlóu	5214	六级
写字台	名	xiězìtái	5215	六级
心灵	名	xīnlíng	5216	六级
心愿	名	xīnyuàn	5217	六级
心脏	名	xīnzàng	5218	六级
心脏病	名	xīnzàngbìng	5219	六级
新人	名	xīnrén	5220	六级
新兴	形	xīnxīng	5221	六级
薪水	名	xīnshui	5222	六级
信仰	动	xìnyǎng	5223	六级
信用	名	xìnyòng	5224	六级
兴旺	形	xīngwàng	5225	六级
行程	名	xíngchéng	5226	六级
形	名	xíng	5227	六级
凶	形	xiōng	5228	六级
凶手	名	xiōngshǒu	5229	六级
修车		xiū chē	5230	六级
袖珍	形	xiùzhēn	5231	六级
悬	动	xuán	5232	六级
旋转	动	xuánzhuǎn	5233	六级
选拔	动	xuǎnbá	5234	六级
选举	动、名	xuǎnjǔ	5235	六级
学会	名	xuéhuì	5236	六级
学员	名	xuéyuán	5237	六级
血管	名	xuèguǎn	5238	六级
血液	名	xuèyè	5239	六级
循环	动	xúnhuán	5240	六级
压迫	动	yāpò	5241	六级
烟花	名	yānhuā	5242	六级
沿	介	yán	5243	六级
沿海	名	yánhǎi	5244	六级
沿着		yánzhe	5245	六级
研发	动	yánfā	5246	六级
眼看	动、副	yǎnkàn	5247	六级
演奏	动	yǎnzòu	5248	六级
宴会	名	yànhuì	5249	六级
洋	形	yáng	5250	六级
仰	动	yǎng	5251	六级
养老		yǎng∥lǎo	5252	六级
氧气	名	yǎngqì	5253	六级
样	名、量	yàng	5254	六级
药品	名	yàopǐn	5255	六级
要不然	连	yàobùrán	5256	六级
要好	形	yàohǎo	5257	六级
要么	连	yàome	5258	六级
要素	名	yàosù	5259	六级
野	形	yě	5260	六级
野生	形	yěshēng	5261	六级
医药	名	yīyào	5262	六级
依次	副	yīcì	5263	六级
依赖	动	yīlài	5264	六级
一次性	形	yícìxìng	5265	六级
一代	名	yídài	5266	六级
一道	副	yídào	5267	六级
一贯	形	yíguàn	5268	六级
一路上		yílù shang	5269	六级
仪器	名	yíqì	5270	六级
仪式	名	yíshì	5271	六级
遗憾	形、名	yíhàn	5272	六级
一番		yìfān	5273	六级
一模一样		yìmú-yíyàng	5274	六级
一齐	副	yìqí	5275	六级
一时	名、副	yìshí	5276	六级
一同	副	yìtóng	5277	六级
一行	名	yìxíng	5278	六级
艺人	名	yìrén	5279	六级
议题	名	yìtí	5280	六级
异常	形、副	yìcháng	5281	六级
意想不到		yìxiǎng bú dào	5282	六级
意愿	名	yìyuàn	5283	六级
因	介、连	yīn	5284	六级
因素	名	yīnsù	5285	六级
阴谋	名	yīnmóu	5286	六级
阴影	名	yīnyǐng	5287	六级
音量	名	yīnliàng	5288	六级
音像	名	yīnxiàng	5289	六级
隐藏	动	yǐncáng	5290	六级
隐私	名	yǐnsī	5291	六级
印	动	yìn	5292	六级
英雄	名	yīngxióng	5293	六级
迎来		yínglái	5294	六级
影迷	名	yǐngmí	5295	六级
影星	名	yǐngxīng	5296	六级
应对	动	yìngduì	5297	六级
应急		yìng∥jí	5298	六级
用处	名	yòngchù	5299	六级
用得着	动	yòngdezháo	5300	六级
用法	名	yòngfǎ	5301	六级
用品	名	yòngpǐn	5302	六级
用心	名	yòngxīn	5303	六级
优质	形	yōuzhì	5304	六级
游人	名	yóurén	5305	六级
游玩	动	yóuwán	5306	六级
游戏机	名	yóuxìjī	5307	六级
游行	动	yóuxíng	5308	六级
有关	动	yǒuguān	5309	六级
有没有		yǒu méiyǒu	5310	六级
有事	动	yǒushì	5311	六级
于	介	yú	5312	六级
娱乐	动、名	yúlè	5313	六级
愉快	形	yúkuài	5314	六级
与	介、连	yǔ	5315	六级
宇航员	名	yǔhángyuán	5316	六级
雨衣	名	yǔyī	5317	六级
预约	动	yùyuē	5318	六级
元素	名	yuánsù	5319	六级
园	名	yuán	5320	六级
园地	名	yuándì	5321	六级
原	形	yuán	5322	六级
原告	名	yuángào	5323	六级
原谅	动	yuánliàng	5324	六级
圆珠笔	名	yuánzhūbǐ	5325	六级
援助	动	yuánzhù	5326	六级
缘故	名	yuángù	5327	六级
远方	名	yuǎnfāng	5328	六级
远离	动	yuǎnlí	5329	六级
远远		yuǎnyuǎn	5330	六级
约定	动	yuēdìng	5331	六级
乐曲	名	yuèqǔ	5332	六级
晕	动、形	yūn	5333	六级
允许	动	yǔnxǔ	5334	六级
运作	动	yùnzuò	5335	六级
晕车		yùn∥chē	5336	六级
杂	形	zá	5337	六级
再生	动	zàishēng	5338	六级
再说	动、连	zàishuō	5339	六级
遭到		zāodào	5340	六级
遭受	动	zāoshòu	5341	六级
遭遇	动、名	zāoyù	5342	六级
早晚	名、副	zǎowǎn	5343	六级
增进	动	zēngjìn	5344	六级
增值	动	zēngzhí	5345	六级
扎	动	zhā	5346	六级
扎实	形	zhāshi	5347	六级
炸	动	zhà	5348	六级
炸弹	名	zhàdàn	5349	六级
炸药	名	zhàyào	5350	六级
债	名	zhài	5351	六级
占据	动	zhànjù	5352	六级
战场	名	zhànchǎng	5353	六级
战略	名	zhànlüè	5354	六级
战术	名	zhànshù	5355	六级
战友	名	zhànyǒu	5356	六级
站台	名	zhàntái	5357	六级
章	量	zhāng	5358	六级
长（秘书长）	后缀	zhǎng (mìshūzhǎng)	5359	六级
掌声	名	zhǎngshēng	5360	六级
账	名	zhàng	5361	六级
账户	名	zhànghù	5362	六级
涨	动	zhàng	5363	六级
障碍	名、动	zhàng’ài	5364	六级
招	动	zhāo	5365	六级
招聘	动	zhāopìn	5366	六级
照样	副	zhàoyàng	5367	六级
照耀	动	zhàoyào	5368	六级
哲学	名	zhéxué	5369	六级
这就是说		zhè jiùshì shuō	5370	六级
镇	动、名	zhèn	5371	六级
争夺	动	zhēngduó	5372	六级
整顿	动	zhěngdùn	5373	六级
整治	动	zhěngzhì	5374	六级
正当	形	zhèngdàng	5375	六级
政策	名	zhèngcè	5376	六级
政党	名	zhèngdǎng	5377	六级
政权	名	zhèngquán	5378	六级
症状	名	zhèngzhuàng	5379	六级
之类	名	zhīlèi	5380	六级
支撑	动	zhīchēng	5381	六级
支援	动、名	zhīyuán	5382	六级
枝	名、量	zhī	5383	六级
知名	形	zhīmíng	5384	六级
织	动	zhī	5385	六级
直升机	名	zhíshēngjī	5386	六级
职责	名	zhízé	5387	六级
止	动	zhǐ	5388	六级
只得	副	zhǐdé	5389	六级
只顾	副	zhǐgù	5390	六级
只管	副	zhǐguǎn	5391	六级
指定	动	zhǐdìng	5392	六级
指数	名	zhǐshù	5393	六级
指头	名	zhǐtou	5394	六级
指着		zhǐzhe	5395	六级
至于	动、介	zhìyú	5396	六级
治病		zhì bìng	5397	六级
智慧	名	zhìhuì	5398	六级
中等	形	zhōngděng	5399	六级
中华	名	Zhōnghuá	5400	六级
中期	名	zhōngqī	5401	六级
中外	名	zhōngwài	5402	六级
忠心	名	zhōngxīn	5403	六级
钟头	名	zhōngtóu	5404	六级
肿	动	zhǒng	5405	六级
种种	代	zhǒngzhǒng	5406	六级
粥	名	zhōu	5407	六级
珠宝	名	zhūbǎo	5408	六级
诸位	代	zhūwèi	5409	六级
主持人	名	zhǔchírén	5410	六级
主角	名	zhǔjué	5411	六级
主流	名	zhǔliú	5412	六级
煮	动	zhǔ	5413	六级
住宅	名	zhùzhái	5414	六级
驻	动	zhù	5415	六级
柱子	名	zhùzi	5416	六级
祝愿	动	zhùyuàn	5417	六级
专用	动	zhuānyòng	5418	六级
转	动	zhuàn	5419	六级
转动	动	zhuàndòng	5420	六级
赚	动	zhuàn	5421	六级
赚钱		zhuàn∥qián	5422	六级
装备	动、名	zhuāngbèi	5423	六级
壮观	形、名	zhuàngguān	5424	六级
追究	动	zhuījiū	5425	六级
捉	动	zhuō	5426	六级
咨询	动	zīxún	5427	六级
自来水	名	zìláishuǐ	5428	六级
自我	代	zìwǒ	5429	六级
自学	动	zìxué	5430	六级
自言自语		zìyán-zìyǔ	5431	六级
自在	形	zìzai	5432	六级
宗教	名	zōngjiào	5433	六级
总部	名	zǒngbù	5434	六级
总监	名	zǒngjiān	5435	六级
总经理	名	zǒngjīnglǐ	5436	六级
总量	名	zǒngliàng	5437	六级
走私		zǒu∥sī	5438	六级
奏	动	zòu	5439	六级
租金	名	zūjīn	5440	六级
足	形、副	zú	5441	六级
足以	动	zúyǐ	5442	六级
族	名	zú	5443	六级
族（上班族）	后缀	zú (shàngbānzú)	5444	六级
祖父	名	zǔfù	5445	六级
祖国	名	zǔguó	5446	六级
祖母	名	zǔmǔ	5447	六级
钻	动	zuān	5448	六级
最佳	形	zuìjiā	5449	六级
最终	名	zuìzhōng	5450	六级
罪	名	zuì	5451	六级
罪恶	名	zuì’è	5452	六级
作	动	zuò	5453	六级
作废	动	zuòfèi	5454	六级
作战	动	zuòzhàn	5455	六级
座谈会	名	zuòtánhuì	5456	六级
阿拉伯语	名	Ālābóyǔ	5457	高等
哎	叹	āi	5458	高等
哎呀	叹	āiyā	5459	高等
哀求	动	āiqiú	5460	高等
挨家挨户		āijiā-āihù	5461	高等
癌	名	ái	5462	高等
癌症	名	áizhèng	5463	高等
艾滋病	名	àizībìng	5464	高等
唉	叹	ài	5465	高等
爱不释手		àibúshìshǒu	5466	高等
爱理不理		àilǐ-bùlǐ	5467	高等
爱面子		ài miànzi	5468	高等
爱惜	动	àixī	5469	高等
碍事		ài∥shì	5470	高等
安定	形、动	āndìng	5471	高等
安抚	动	ānfǔ	5472	高等
安眠药	名	ānmiányào	5473	高等
安宁	形	ānníng	5474	高等
安稳	形	ānwěn	5475	高等
安心	形	ānxīn	5476	高等
安逸	形	ānyì	5477	高等
按键	名	ànjiàn	5478	高等
按理说		ànlǐ shuō	5479	高等
按说	副	ànshuō	5480	高等
案件	名	ànjiàn	5481	高等
暗地里	名	àndì·lǐ	5482	高等
暗杀	动	ànshā	5483	高等
暗中	名	ànzhōng	5484	高等
昂贵	形	ángguì	5485	高等
凹	形	āo	5486	高等
熬	动	áo	5487	高等
熬夜		áo∥yè	5488	高等
傲	形	ào	5489	高等
傲慢	形	àomàn	5490	高等
奥秘	名	àomì	5491	高等
奥运会	名	Àoyùnhuì	5492	高等
八卦	名	bāguà	5493	高等
巴不得	动	bābu·dé	5494	高等
扒	动	bā	5495	高等
芭蕾	名	bālěi	5496	高等
把柄	名	bǎbǐng	5497	高等
把关		bǎ∥guān	5498	高等
把手	名	bǎshou	5499	高等
靶子	名	bǎzi	5500	高等
坝	名	bà	5501	高等
罢免	动	bàmiǎn	5502	高等
罢休	动	bàxiū	5503	高等
霸占	动	bàzhàn	5504	高等
掰	动	bāi	5505	高等
白白	副	báibái	5506	高等
百分比	名	bǎifēnbǐ	5507	高等
百合	名	bǎihé	5508	高等
百科全书		bǎikē quánshū	5509	高等
柏树	名	bǎishù	5510	高等
摆放	动	bǎifàng	5511	高等
摆平		bǎi∥píng	5512	高等
摆设	名	bǎishe	5513	高等
拜会	动	bàihuì	5514	高等
拜见	动	bàijiàn	5515	高等
拜年		bài∥nián	5516	高等
拜托	动	bàituō	5517	高等
扳	动	bān	5518	高等
颁布	动	bānbù	5519	高等
颁发	动	bānfā	5520	高等
颁奖		bān∥jiǎng	5521	高等
斑点	名	bāndiǎn	5522	高等
搬迁	动	bānqiān	5523	高等
板块	名	bǎnkuài	5524	高等
办不到		bàn bu dào	5525	高等
半边天	名	bànbiāntiān	5526	高等
半场	名	bànchǎng	5527	高等
半岛	名	bàndǎo	5528	高等
半路	名	bànlù	5529	高等
半数	名	bànshù	5530	高等
半途而废		bàntú’érfèi	5531	高等
半信半疑		bànxìn-bànyí	5532	高等
半真半假		bànzhēn-bànjiǎ	5533	高等
扮	动	bàn	5534	高等
伴	动、名	bàn	5535	高等
伴侣	名	bànlǚ	5536	高等
伴随	动	bànsuí	5537	高等
伴奏	动	bànzòu	5538	高等
拌	动	bàn	5539	高等
帮手	名	bāngshou	5540	高等
绑	动	bǎng	5541	高等
绑架	动	bǎngjià	5542	高等
榜样	名	bǎngyàng	5543	高等
棒球	名	bàngqiú	5544	高等
磅	量、名	bàng	5545	高等
包袱	名	bāofu	5546	高等
包容	动	bāoróng	5547	高等
包扎	动	bāozā	5548	高等
剥	动	bāo	5549	高等
煲	名、动	bāo	5550	高等
饱和	动	bǎohé	5551	高等
饱满	形	bǎomǎn	5552	高等
宝库	名	bǎokù	5553	高等
宝藏	名	bǎozàng	5554	高等
保管	动、名	bǎoguǎn	5555	高等
保姆	名	bǎomǔ	5556	高等
保暖		bǎo∥nuǎn	5557	高等
保鲜	动	bǎoxiān	5558	高等
保修	动	bǎoxiū	5559	高等
保佑	动	bǎoyòu	5560	高等
保障	动、名	bǎozhàng	5561	高等
保质期	名	bǎozhìqī	5562	高等
保重	动	bǎozhòng	5563	高等
堡垒	名	bǎolěi	5564	高等
报	动	bào	5565	高等
报仇		bào∥chóu	5566	高等
报酬	名	bàochou	5567	高等
报废		bào∥fèi	5568	高等
报复	动	bào·fù	5569	高等
报社	名	bàoshè	5570	高等
报亭	名	bàotíng	5571	高等
报销	动	bàoxiāo	5572	高等
抱负	名	bàofù	5573	高等
豹	名	bào	5574	高等
暴风骤雨		bàofēng-zhòuyǔ	5575	高等
暴利	名	bàolì	5576	高等
暴躁	形	bàozào	5577	高等
曝光		bào∥guāng	5578	高等
爆冷门		bào lěngmén	5579	高等
爆满	动	bàomǎn	5580	高等
爆竹	名	bàozhú	5581	高等
卑鄙	形	bēibǐ	5582	高等
悲哀	形	bēi’āi	5583	高等
悲观	形	bēiguān	5584	高等
悲欢离合		bēihuān-líhé	5585	高等
悲痛	形	bēitòng	5586	高等
碑	名	bēi	5587	高等
贝壳	名	bèiké	5588	高等
备课		bèi∥kè	5589	高等
备受	动	bèishòu	5590	高等
备用	动	bèiyòng	5591	高等
背面	名	bèimiàn	5592	高等
背叛	动	bèipàn	5593	高等
背诵	动	bèisòng	5594	高等
被捕	动	bèibǔ	5595	高等
奔波	动	bēnbō	5596	高等
奔赴	动	bēnfù	5597	高等
本分	名、形	běnfèn	5598	高等
本能	名	běnnéng	5599	高等
本钱	名	běnqián	5600	高等
本色	名	běnsè	5601	高等
本性	名	běnxìng	5602	高等
本意	名	běnyì	5603	高等
本着	介	běnzhe	5604	高等
奔	动	bèn	5605	高等
笨蛋	名	bèndàn	5606	高等
笨重	形	bènzhòng	5607	高等
崩溃	动	bēngkuì	5608	高等
绷	动	bēng	5609	高等
绷带	名	bēngdài	5610	高等
蹦	动	bèng	5611	高等
逼近	动	bījìn	5612	高等
逼迫	动	bīpò	5613	高等
逼真	形	bīzhēn	5614	高等
鼻涕	名	bítì	5615	高等
比比皆是		bǐbǐ-jiēshì	5616	高等
比不上		bǐ bu shàng	5617	高等
比起		bǐqǐ	5618	高等
比试	动	bǐshi	5619	高等
比喻	名、动	bǐyù	5620	高等
鄙视	动	bǐshì	5621	高等
必不可少		bìbùkěshǎo	5622	高等
必定	副	bìdìng	5623	高等
碧绿	形	bìlǜ	5624	高等
弊病	名	bìbìng	5625	高等
弊端	名	bìduān	5626	高等
壁画	名	bìhuà	5627	高等
避难		bì∥nàn	5628	高等
避暑		bì∥shǔ	5629	高等
边疆	名	biānjiāng	5630	高等
边界	名	biānjiè	5631	高等
边远	形	biānyuǎn	5632	高等
编号	名	biānhào	5633	高等
编剧	名	biānjù	5634	高等
编排	动	biānpái	5635	高等
编写	动	biānxiě	5636	高等
编造	动	biānzào	5637	高等
鞭策	动	biāncè	5638	高等
鞭炮	名	biānpào	5639	高等
贬值	动	biǎnzhí	5640	高等
变革	动	biàngé	5641	高等
变幻莫测		biànhuàn-mòcè	5642	高等
变迁	动、名	biànqiān	5643	高等
变异	动	biànyì	5644	高等
变质		biàn∥zhì	5645	高等
便道	名	biàndào	5646	高等
便饭	名	biànfàn	5647	高等
便捷	形	biànjié	5648	高等
便利店	名	biànlìdiàn	5649	高等
遍布	动	biànbù	5650	高等
辨别	动	biànbié	5651	高等
辨认	动	biànrèn	5652	高等
辩	动	biàn	5653	高等
辩护	动	biànhù	5654	高等
辩解	动	biànjiě	5655	高等
辫子	名	biànzi	5656	高等
标	动	biāo	5657	高等
标榜	动	biāobǎng	5658	高等
标本	名	biāoběn	5659	高等
标签	名	biāoqiān	5660	高等
标示	动	biāoshì	5661	高等
标语	名	biāoyǔ	5662	高等
标致	形	biāo·zhì	5663	高等
飙升	动	biāoshēng	5664	高等
表白	动	biǎobái	5665	高等
表决	动	biǎojué	5666	高等
表述	动	biǎoshù	5667	高等
表率	名	biǎoshuài	5668	高等
表态		biǎo∥tài	5669	高等
表彰	动	biǎozhāng	5670	高等
憋	动、形	biē	5671	高等
别具匠心		biéjù-jiàngxīn	5672	高等
别看	连	biékàn	5673	高等
别墅	名	biéshù	5674	高等
别说	连	biéshuō	5675	高等
别提了		biétí le	5676	高等
别致	形	biézhì	5677	高等
别扭	形	bièniu	5678	高等
彬彬有礼		bīnbīn-yǒulǐ	5679	高等
滨海		bīn hǎi	5680	高等
缤纷	形	bīnfēn	5681	高等
冰棍儿	名	bīnggùnr	5682	高等
冰山	名	bīngshān	5683	高等
丙	名	bǐng	5684	高等
秉承	动	bǐngchéng	5685	高等
并非	动	bìngfēi	5686	高等
并购	动	bìnggòu	5687	高等
并列	动	bìngliè	5688	高等
并行	动	bìngxíng	5689	高等
病床	名	bìngchuáng	5690	高等
病症	名	bìngzhèng	5691	高等
拨	动	bō	5692	高等
拨款	名	bōkuǎn	5693	高等
拨通		bōtōng	5694	高等
波及	动	bōjí	5695	高等
波澜	名	bōlán	5696	高等
波涛	名	bōtāo	5697	高等
波折	名	bōzhé	5698	高等
剥夺	动	bōduó	5699	高等
剥削	动、名	bōxuē	5700	高等
伯伯	名	bóbo	5701	高等
伯父	名	bófù	5702	高等
伯母	名	bómǔ	5703	高等
驳回	动	bóhuí	5704	高等
脖子	名	bózi	5705	高等
搏斗	动	bódòu	5706	高等
不定	形、副	búdìng	5707	高等
不见得	副	bújiàn·dé	5708	高等
不利于		búlì yú	5709	高等
不慎	形	búshèn	5710	高等
不适	形	búshì	5711	高等
不算		bú suàn	5712	高等
不像话	形	búxiànghuà	5713	高等
不屑	动	búxiè	5714	高等
不懈	形	búxiè	5715	高等
不亚于	动	búyàyú	5716	高等
不亦乐乎		búyìlèhū	5717	高等
不翼而飞		búyì’érfēi	5718	高等
不用说		búyòngshuō	5719	高等
不正之风		búzhèngzhīfēng	5720	高等
补给	动、名	bǔjǐ	5721	高等
补救	动	bǔjiù	5722	高等
捕捉	动	bǔzhuō	5723	高等
哺育	动	bǔyù	5724	高等
不耻下问		bùchǐ-xiàwèn	5725	高等
