# 香港粵語大詞典
# https://061061.xyz/39336.html
#
# 詞語	括號詞	頁碼

頂你個肺		0107
頂唔住		0107
頂唔順		0107
頂硬上		0107
頂硬檔		0107
頂心頂肺		0107
頂心杉		0107
頂薪點		0107
頂手		0107
頂數		0107
頂頭陣		0107
頂頭槌		0108
頂肚		0108
頂肚餓		0108
定		0108
椗		0108
椗呤鄧掕		0108
定		0108
定必		0108
定點		0108
定當		0108
定過抬油		0108
定係		0108
定力		0108
定銀		0108
定晒形		0108
定時定候		0108
定食		0108
定條		0108
碟		0108
碟頭飯		0108
疊埋心水		0108
跌紙		0109
跌咗		0109
跌價		0109
跌跤		0109
跌落地揦翻拃沙		0109
跌眼鏡		0109
跌watt		0109
丟荒		0109
丟架		0109
丟生		0109
丟疏		0109
丟書包		0109
刁喬扭擰		0109
刁蠻		0109
刁時		0109
屌	𨳒	0109
屌那媽		0109
屌你老母		0109
吊帳		0109
吊鐘		0110
吊雞車		0110
吊頸		0110
吊頸都要透氣		0110
吊腳		0110
吊櫃		0110
吊起嚟賣		0110
吊靴鬼		0110
吊癮		0110
吊鹽水		0110
吊籃		0110
吊尾		0110
吊味		0110
吊命		0110
吊泥鯭		0110
吊砂煲		0110
吊威也		0110
吊吊揈		0110
釣友		0111
掉		0111
掉期		0111
調轉便		0111
調轉頭		0111
多得		0111
多得你唔少		0111
多多		0111
多多聲		0111
多多事幹		0111
多多少少		0111
多謝夾盛惠		0111
多計		0111
多個香爐多隻鬼		0111
多個人多雙筷		0111
多口		0111
多籮籮		0111
多心		0112
多手		0112
多手多腳		0112
多士		0112
多士爐		0112
多事		0112
多少		0112
多數		0112
多謝夾盛惠		0112
多除少補		0112
朵		0112
躲懶		0112
墮		0112
墮角		0112
多		0112
斲	剁	0112
敦款		0112
鈍		0112
啄		0112
堆填區		0112
㨃		0112
㨃冧		0113
對		0113
對		0113
對辦		0113
對家		0113
對憾		0113
對開		0113
對胸衫		0113
對摳		0113
對落		0113
對路		0113
對埋		0113
對面海		0113
對唔住		0113
對眼生響頭頂		0113
對年		0113
對手戲		0113
對時		0113
對上		0113
對歲		0113
對沖基金		0113
袋		0113
袋錶		0113
袋袋平安		0113
袋裝書		0114
袋厴		0114
袋錢落你袋		0114
待薄		0114
代客泊車		0114
代溝		0114
度		0114
度期		0114
度身		0114
度身訂造		0114
度水		0114
鐸叔		0114
當值		0114
當災		0114
當更		0114
當黑		0114
當紅		0115
當眼		0115
當時得令		0115
當衰		0115
當堂		0115
當差		0115
擋災		0115
擋煞		0115
擋頭陣		0115
當如		0115
當佢冇到		0115
當佢透明		0115
當你神噉拜		0115
檔		0115
檔口		0115
檔期		0115
檔位		0115
蕩		0115
蕩街		0116
蕩失路		0116
刀豆		0116
刀仔		0116
刀仔鋸大樹		0116
刀嘴		0116
都		0116
都係		0116
到		0116
倒灶		0116
